suburb,lat,lon
NEWTOWN,-33.896449,151.180013
ERSKINEVILLE,-33.902234,151.186192
ST PETERS,-33.911062,151.180126
SYDENHAM,-33.915222,151.166104
TEMPE,-33.924777,151.160747
HABERFIELD,-33.880496,151.138839
ABBOTSFORD,-33.852469,151.129453
CANADA BAY,-33.863194,151.116398
CHISWICK,-33.851437,151.135954
FIVE DOCK,-33.866368,151.130136
RODD POINT,-33.868208,151.141652
RUSSELL LEA,-33.86072,151.140711
WAREEMBA,-33.856828,151.130728
DRUMMOYNE,-33.851056,151.154542
STANMORE,-33.897351,151.16535
LEWISHAM,-33.894902,151.144413
PETERSHAM,-33.896242,151.154136
PETERSHAM NORTH,-33.889283,151.158575
CAMPERDOWN,-33.88866,151.177188
MISSENDEN ROAD,-33.888668,151.181531
NORTH SYDNEY,-33.802837,151.104935
CHATSWOOD,-33.791988,151.1899
HMAS WATERHEN,-33.840633,151.19497
LAVENDER BAY,-33.84307,151.208015
MCMAHONS POINT,-33.84464,151.20425
NORTH SYDNEY,-33.838265,151.206481
NORTH SYDNEY SHOPPINGWORLD,-33.837788,151.208276
WAVERTON,-33.839969,151.195808
KIRRIBILLI,-33.846275,151.212705
MILSONS POINT,-33.847526,151.211568
CAMMERAY,-33.821953,151.21043
NORTHBRIDGE,-33.815028,151.222266
ARTARMON,-33.807664,151.189662
CROWS NEST,-33.82609,151.199192
GREENWICH,-33.831958,151.186129
NAREMBURN,-33.817299,151.20116
ROYAL NORTH SHORE HOSPITAL,-33.821588,151.191396
ST LEONARDS,-33.823248,151.195504
WOLLSTONECRAFT,-33.828158,151.196621
LANE COVE,-33.814599,151.168722
LANE COVE NORTH,-33.807556,151.170912
LANE COVE WEST,-33.806246,151.153281
LINLEY POINT,-33.826777,151.148251
LONGUEVILLE,-33.833096,151.165342
NORTHWOOD,-33.829732,151.177751
RIVERVIEW,-33.825587,151.159934
CHATSWOOD,-33.795617,151.185329
CHATSWOOD WEST,-33.796332,151.167142
CASTLECRAG,-33.802403,151.212643
MIDDLE COVE,-33.794087,151.207975
NORTH WILLOUGHBY,-33.793089,151.195787
WILLOUGHBY,-33.801483,151.1986
WILLOUGHBY EAST,-33.802534,151.203505
WILLOUGHBY NORTH,-33.793089,151.195787
CASTLE COVE,-33.784165,151.199948
ROSEVILLE,-33.784635,151.177111
ROSEVILLE CHASE,-33.778902,151.195195
EAST LINDFIELD,-33.766415,151.186095
LINDFIELD,-33.776441,151.168736
LINDFIELD WEST,-33.784382,151.158141
EAST KILLARA,-33.753498,151.170003
KILLARA,-33.766376,151.162047
GORDON,-33.757349,151.155678
PYMBLE,-33.74414,151.141103
WEST PYMBLE,-33.760383,151.126038
NORTH TURRAMURRA,-33.713419,151.147146
SOUTH TURRAMURRA,-33.746027,151.113441
TURRAMURRA,-33.733244,151.129809
WARRAWEE,-33.722839,151.126134
ST IVES,-33.730601,151.158551
ST IVES CHASE,-33.707895,151.163446
NORMANHURST,-33.720999,151.097331
NORTH WAHROONGA,-33.702704,151.123179
WAHROONGA,-33.716405,151.118119
ASQUITH,-33.687484,151.108685
HORNSBY,-33.704748,151.098696
HORNSBY HEIGHTS,-33.670086,151.095503
WAITARA,-33.709541,151.104136
MOUNT COLAH,-33.664817,151.117161
MOUNT KURING-GAI,-33.628729,151.226792
BEROWRA,-33.623581,151.150117
COWAN,-33.589491,151.171015
BEROWRA HEIGHTS,-33.610968,151.136829
BEROWRA WATERS,-33.601653,151.11837
BAR POINT,-33.507463,151.163329
BROOKLYN,-33.548006,151.22519
CHEERO POINT,-33.514637,151.195142
COGRA BAY,-33.519596,151.223002
DANGAR ISLAND,-33.539357,151.241762
MILSONS PASSAGE,-33.518967,151.176541
MOONEY MOONEY,-33.490356,151.186179
COTTAGE POINT,-33.619578,151.203831
DUFFYS FOREST,-33.676775,151.199879
TERREY HILLS,-33.683644,151.22847
BELROSE,-33.739288,151.211439
BELROSE WEST,-33.761674,151.278773
DAVIDSON,-33.738731,151.194197
FRENCHS FOREST,-33.750964,151.226036
FRENCHS FOREST EAST,-33.751488,151.245461
FORESTVILLE,-33.762011,151.21406
KILLARNEY HEIGHTS,-33.773728,151.216125
MOSMAN,-33.829077,151.24409
SPIT JUNCTION,-33.822964,151.242292
NEUTRAL BAY,-33.83112,151.221232
NEUTRAL BAY JUNCTION,-33.831529,151.222401
CREMORNE,-33.828131,151.230233
CREMORNE JUNCTION,-33.843075,151.228923
CREMORNE POINT,-33.84447,151.228231
SEAFORTH,-33.797106,151.251146
BALGOWLAH,-33.794121,151.26268
BALGOWLAH HEIGHTS,-33.800553,151.257401
CLONTARF,-33.808238,151.255095
MANLY VALE,-33.784036,151.267315
NORTH BALGOWLAH,-33.787074,151.251721
FAIRLIGHT,-33.794163,151.273978
MANLY,-33.797144,151.28804
MANLY EAST,-33.801822,151.288876
CURL CURL,-33.768937,151.294035
HARBORD,-33.778663,151.285772
QUEENSCLIFF,-33.784595,151.287817
COLLAROY,-33.740969,151.303133
COLLAROY BEACH,-33.732122,151.301232
COLLAROY PLATEAU WEST,-33.728047,151.286514
WHEELER HEIGHTS,-33.732476,151.277439
CROMER,-33.740353,151.278523
DEE WHY,-33.753451,151.28554
NARRAWEENA,-33.749912,151.274687
NORTH CURL CURL,-33.761652,151.295691
ALLAMBIE HEIGHTS,-33.765076,151.248864
BEACON HILL,-33.752406,151.261272
BROOKVALE,-33.766629,151.273824
NORTH MANLY,-33.775702,151.269339
OXFORD FALLS,-33.730197,151.248218
WARRINGAH MALL,-33.767737,151.266062
ELANORA HEIGHTS,-33.695015,151.280156
INGLESIDE,-33.683176,151.262322
NARRABEEN,-33.723127,151.287366
NORTH NARRABEEN,-33.702661,151.293622
WARRIEWOOD,-33.686265,151.29908
MONA VALE,-33.67707,151.300316
BAYVIEW,-33.66445,151.298945
CHURCH POINT,-33.644873,151.284352
ELVINA BAY,-33.642011,151.276109
LOVETT BAY,-33.637405,151.278429
SCOTLAND ISLAND,-33.641752,151.290116
NEWPORT,-33.659896,151.309312
NEWPORT BEACH,-33.652485,151.322776
AVALON BEACH,-33.636325,151.330596
BILGOLA,-33.645562,151.323857
CAREEL BAY,-33.623135,151.327046
CLAREVILLE,-33.634905,151.313321
PARADISE BEACH,-33.624257,151.31871
TAYLORS POINT,-33.637041,151.305538
WHALE BEACH,-33.614274,151.330438
COASTERS RETREAT,-33.6048,151.29883
CURRAWONG BEACH,-33.597338,151.298367
GREAT MACKEREL BEACH,-33.591729,151.300451
MORNING BAY,-33.623044,151.281623
PALM BEACH,-33.604282,151.321419
THE BASIN,-33.602384,151.293682
MACQUARIE UNIVERSITY,-33.774321,151.111988
HUNTERS HILL,-33.83484,151.154196
WOOLWICH,-33.838393,151.172535
BORONIA PARK,-33.820941,151.140067
GLADESVILLE,-33.832894,151.126964
HENLEY,-33.842216,151.135943
HUNTLEYS COVE,-33.839798,151.144587
HUNTLEYS POINT,-33.840088,151.145968
MONASH PARK,-33.82248,151.125215
TENNYSON POINT,-33.831448,151.117286
DENISTONE EAST,-33.797177,151.097546
PUTNEY,-33.824735,151.112549
RYDE,-33.812953,151.104942
BLENHEIM ROAD,-33.798595,151.133903
EAST RYDE,-33.813769,151.140289
MACQUARIE CENTRE,-33.777139,151.120702
MACQUARIE PARK,-33.779795,151.134041
NORTH RYDE,-33.79677,151.124355
DENISTONE,-33.799441,151.07959
DENISTONE WEST,-33.802382,151.066085
MEADOWBANK,-33.815912,151.090715
MELROSE PARK,-33.816575,151.076089
WEST RYDE,-33.807712,151.088724
