city,code,Families,for all families,lon,for families with children,Average children per family,lat
Taralga,13759,97,0.7,149.818683,2.2,None,-34.405567
Allworth,10041,39,0.5,151.960927,1.6,None,-32.541688
Lake Cargelligo,12242,360,0.8,146.370322,2,None,-33.298908
Rosemeadow,13410,2075,1.1,150.800106,2,None,-34.101795
Raglan (NSW),13304,332,1,149.649389,2,None,-33.422275
O'Connell (NSW),13052,151,0.8,149.723143,1.8,None,-33.536286
Gundagai,11803,430,0.6,148.100558,1.9,None,-35.077496
Bungawalbin,10683,27,0.3,153.1231,1.5,None,-29.129
Girards Hill,11631,312,0.6,153.275124,1.8,None,-28.813942
Dharruk,11248,732,1.2,150.816642,2.1,None,-33.743232
Nericon,12927,76,0.9,146.036209,2,None,-34.168334
Murray Downs,12852,71,0.7,143.617961,2,None,-35.311557
Crookwell,11123,714,0.6,149.470291,1.8,None,-34.458076
Central Mangrove,10876,74,0.7,151.234661,1.7,None,-33.292384
Lugarno,12421,1636,1,151.046942,1.9,None,-33.982956
Bendick Murrell,10290,37,0.7,148.449846,1.8,None,-34.16282
Kiama Downs,12117,1455,0.9,150.851208,1.9,None,-34.645131
Bonnet Bay,10469,674,0.9,151.054252,1.8,None,-34.009518
Summer Hill Creek,13688,64,0.9,149.132468,1.7,None,-33.217273
Horsfield Bay,11941,151,0.8,151.299908,1.8,None,-33.49347
Woodford Island,14384,64,0.6,153.1349,1.8,None,-29.5094
Islington,11990,447,0.4,151.745721,1.6,None,-32.911915
Coffee Camp,10958,59,0.6,153.22894,1.5,None,-28.659389
Upper Corindi,14020,34,0.7,153.158509,1.7,None,-30.035889
Warnervale,14154,176,1.1,151.459786,2,None,-33.242434
Lorn,12389,371,0.7,152.591668,1.8,None,-31.657555
Warri,14172,27,0.6,146.858999,1.7,None,-29.961519
Oberon,13068,824,0.7,149.7741,1.9,None,-33.6677
McMahons Point,12547,597,0.3,151.20425,1.5,None,-33.84464
Branxton,10549,554,0.9,151.363965,1.9,None,-32.655999
East Wardell,11365,86,0.8,153.466641,1.9,None,-28.956977
Lakewood,12259,348,0.5,152.756608,1.8,None,-31.635267
South Nowra,13594,497,0.8,150.60221,1.9,None,-34.898363
Blue Bay,10414,283,0.5,151.500048,1.6,None,-33.357184
Carey Bay,10812,212,0.4,151.605836,1.7,None,-33.027126
Wardell,14144,201,0.6,153.464326,1.8,None,-28.952703
Mumbil,12832,66,0.7,149.049691,2.1,None,-32.725539
Bungendore,10684,1156,1,149.440417,1.9,None,-35.256083
Hamilton Valley,11842,147,0.8,146.919729,1.9,None,-36.037497
Greenwell Point,11769,360,0.4,150.729736,1.6,None,-34.907929
Mandalong,12465,117,0.9,151.414627,2,None,-33.145241
Toukley,13925,1120,0.5,151.540695,1.7,None,-33.265459
Valla,14067,260,0.7,153.008479,2,None,-30.591805
Narrabeen,12902,2061,0.4,151.293622,1.6,None,-33.702661
Moorbel,12709,58,0.8,148.69457,1.9,None,-33.566841
Mullengandra,12823,38,0.8,147.180565,2.1,None,-35.87712
Duri,11332,140,0.7,153.258782,1.9,None,-28.887662
Keinbah,12084,32,0.7,151.399632,1.9,None,-32.760031
Cameron Park,10775,2156,1.2,151.655731,2,None,-32.933952
Swan Creek (NSW),13706,32,0.7,152.981609,1.6,None,-29.668607
Sussex Inlet,13700,1007,0.4,150.596247,1.7,None,-35.157009
Bootawa,10504,41,0.3,152.373581,1.3,None,-31.914391
Lloyd,12365,234,0.9,147.335216,1.9,None,-35.14755
North Manly,12997,812,1.1,151.269339,2,None,-33.775702
Warners Bay,14153,2148,0.7,151.644682,1.8,None,-32.975418
Cumborah,11158,46,0.5,147.767956,2.4,None,-29.742525
Belimbla Park,10261,156,1,150.543085,2,None,-34.075888
Fishermans Reach,11524,38,0.4,152.996244,1.6,None,-30.851981
Gwabegar,11823,38,0.7,148.96949,1.9,None,-30.619798
Fairfield (NSW),11477,4622,1,150.955512,1.9,None,-33.868529
Lake Innes,12251,125,0.9,152.823635,1.9,None,-31.481465
Spring Ridge,13619,73,0.6,150.683758,1.8,None,-31.498483
Mount Fairy,12758,62,0.7,149.59895,1.9,None,-35.166753
Royalla,13434,272,1.1,149.16269,2,None,-35.512227
Pretty Beach (Central Coast - NSW),13261,94,0.6,151.3479,1.9,None,-33.5268
Dapto,11202,3009,0.8,150.793006,1.8,None,-34.494001
Bringelly,10575,664,1.2,150.725207,2.2,None,-33.945707
The Entrance North,13819,390,0.6,151.511249,1.6,None,-33.326254
Heckenberg,11887,751,1.2,150.889921,2.2,None,-33.911083
Kearsley,12080,226,0.9,151.395667,1.8,None,-32.858649
South Arm (Nambucca - NSW),13575,91,0.6,152.7482,2,None,-30.6965
South Arm (Clarence Valley - NSW),13574,65,0.7,152.2872,1.9,None,-25.047
Nundle,13043,122,0.5,151.127044,1.8,None,-31.462548
