city,code,Families,for all families,lon,for families with children,Average children per family,lat
Cobaki,10947,57,0.9,153.471389,1.8,None,-28.175328
Yass River,14494,103,0.7,149.096916,1.8,None,-34.9072
Deepwater (NSW),11231,113,0.4,151.847464,1.5,None,-29.44232
Umina Beach,14007,4466,0.7,151.307503,1.8,None,-33.528746
Thirroul,13848,1683,0.9,150.923793,1.9,None,-34.314739
Cooperabung,11046,76,0.6,152.808768,1.7,None,-31.284405
Russell Vale,13448,425,0.9,150.900783,1.9,None,-34.358093
Brayton,10554,43,0.4,149.964356,1.6,None,-34.647901
Lake Albert (NSW),12238,1751,0.8,147.381816,2,None,-35.166085
Valla Beach,14068,376,0.5,153.008479,1.7,None,-30.591805
Haymarket,11877,1024,0.2,151.202796,1.3,None,-33.880777
Bargo,10198,1218,0.9,150.580103,2,None,-34.289443
Cootamundra,11053,1815,0.6,148.024671,1.9,None,-34.639089
Turramurra,13980,3303,1,151.129809,1.9,None,-33.733244
Collins Creek,10978,35,0.6,153.020382,1.7,None,-28.495304
Benandarah,10287,32,0.4,150.228251,1.9,None,-35.660936
Blackmans Point,10395,39,0.5,152.851836,1.7,None,-31.400666
Cumberland Reach,11156,54,0.8,150.896276,1.8,None,-33.455858
Belfield,10257,1677,1,151.083553,1.9,None,-33.902107
Coolagolite,11023,80,0.3,149.926402,1.4,None,-36.429324
Woodstock (Cowra - NSW),14394,189,0.4,151.0512,1.8,None,-29.2137
Shalvey,13523,880,1.2,150.808375,2.1,None,-33.729373
Millingandi,12622,128,0.3,149.867994,1.8,None,-36.872365
Lochinvar,12368,229,0.8,151.45479,1.8,None,-32.699039
Gosford,11722,835,0.3,151.360909,1.4,None,-33.451762
Beckom,10244,37,1.1,146.959974,2.2,None,-34.32731
Grays Point,11743,890,1.1,151.081652,1.9,None,-34.05884
Sandringham (NSW),13478,343,0.7,151.139252,1.9,None,-33.998763
Keith Hall,12086,41,0.6,153.531951,1.4,None,-28.889839
Cooyal,11055,29,0.7,149.757343,1.6,None,-32.450436
Parkesbourne,13152,59,0.4,149.521444,1.6,None,-34.761895
Moruya Heads,12735,275,0.5,150.132617,1.8,None,-35.913602
Binya,10373,36,1.3,146.337827,2.4,None,-34.228297
Narooma,12900,664,0.4,150.119086,1.8,None,-36.202678
Abernethy,10011,69,1.1,151.396677,1.9,None,-32.883242
Koonorigan,12188,93,0.7,153.237965,1.7,None,-28.67516
Cringila,11116,555,1.1,150.871375,2,None,-34.471575
Terranora,13802,826,1,153.502795,2,None,-28.240724
Mount Rankin,12786,99,0.9,149.496674,1.9,None,-33.316695
Eveleigh,11471,160,0.6,151.19113,1.6,None,-33.897075
Howes Valley,11948,15,0.4,150.835756,1.6,None,-32.844284
Lisarow,12343,1398,1,151.371283,2,None,-33.380843
Shelly Beach (NSW),13535,355,0.7,151.485687,1.8,None,-33.368675
Northmead,13023,3085,0.7,150.994336,1.7,None,-33.783849
Erina,11433,1158,0.5,146.7306,1.8,None,-29.5364
Red Head,13329,155,0.6,152.531451,2,None,-32.058603
La Perouse,12230,120,0.8,151.231507,1.7,None,-33.989634
Burra (Queanbeyan-Palerang Regional - NSW),10697,218,0.8,149.2299,1.9,None,-35.5659
The Hill,13826,435,0.3,151.777382,1.6,None,-32.929808
Rockdale,13379,3942,0.6,151.137624,1.6,None,-33.952747
Yanderra,14461,175,0.9,150.569254,1.9,None,-34.324175
Erskineville,11439,2023,0.3,151.186192,1.5,None,-33.902234
Tallimba,13732,45,1,146.879692,2.5,None,-33.994402
Bishops Bridge,10380,65,0.7,151.467064,1.7,None,-32.746391
Palmers Channel,13135,39,0.6,153.279261,2,None,-29.459505
Narraweena,12910,1679,0.9,151.274687,1.8,None,-33.749912
Oxley Park,13110,783,0.9,150.79264,1.9,None,-33.771261
Linden (NSW),12335,142,0.7,150.504477,1.9,None,-33.715529
Parma,13155,54,0.8,150.552694,2.1,None,-34.963298
Mount Kembla,12769,291,1.1,150.820503,1.9,None,-34.432799
Coniston,11010,554,0.7,150.885559,1.8,None,-34.436545
Huntleys Cove,11960,235,0.6,151.144587,1.7,None,-33.839798
Beaumont Hills,10243,2421,1.4,150.946875,2,None,-33.703416
Colyton,10987,2220,1,150.793433,2,None,-33.776657
East Tamworth,11363,1389,0.6,150.949994,1.8,None,-31.10529
Barooga,10205,468,0.7,145.688503,2,None,-35.913566
Conjola Park,11012,85,0.7,150.452135,2,None,-35.371593
Tatham,13773,55,0.7,153.158653,2,None,-28.928919
Avalon Beach,10111,2695,0.9,151.330596,1.9,None,-33.636325
Tuncurry,13969,1617,0.3,152.499268,1.6,None,-32.174624
Euberta,11451,36,0.8,147.190921,1.6,None,-35.059159
South Hurstville,13587,1345,0.9,151.104909,1.7,None,-33.977595
Araluen (NSW),10070,38,0.2,149.812149,1.2,None,-35.64693
Cliftleigh,10932,206,1.4,151.523259,2.4,None,-32.784916
Kundabung,12209,173,0.8,152.823012,1.9,None,-31.208615
Silverwater (Lake Macquarie - NSW),13546,82,0.9,151.5586,1.9,None,-33.103
Guildford (NSW),11790,5180,1.1,150.988073,2.2,None,-33.867084
Rappville,13318,47,0.9,152.953134,2,None,-29.084845
Palmers Island,13136,135,0.7,153.288677,1.7,None,-29.420289
Moruya,12734,1083,0.5,150.132617,1.8,None,-35.913602
Lavender Bay,12285,231,0.3,151.208015,1.5,None,-33.84307
Fingal Head,11519,143,0.8,153.565709,2,None,-28.204156
Fishermans Paradise,11523,122,0.5,150.448704,1.7,None,-35.229709
Scotland Island,13505,154,0.8,151.290116,1.8,None,-33.641752
Biniguy,10369,31,0.5,150.136946,1.4,None,-29.580064
Rossmore (NSW),13420,583,1.1,150.772763,2.2,None,-33.945965
Numbaa,13035,33,0.6,150.678484,1.8,None,-34.873429
Bowman,10531,33,0.8,151.780768,2.5,None,-31.922744
Minimbah,12636,54,1,152.361412,2.4,None,-32.148267
Revesby Heights,13356,455,1.1,151.015063,2,None,-33.968802
Forest Hill (NSW),11544,541,0.9,151.55001,1.9,None,-32.707981
Blackville,10398,31,0.7,150.30281,1.7,None,-31.65821
East Maitland,11360,3135,0.7,151.589963,1.8,None,-32.75112
Berrambool,10312,122,0.4,149.917402,1.8,None,-36.8788
Googong,11704,740,1.1,149.230757,1.9,None,-35.391776
Glenthorne,11680,57,0.5,152.480283,1.6,None,-31.914405
Rock Valley,13378,79,0.6,153.174403,1.7,None,-28.747359
Woodlands (Wingecarribee - NSW),14388,71,0.5,150.3995,1.8,None,-34.4082
Eltham (NSW),11409,99,0.8,153.409529,1.8,None,-28.754287
Barnsley,10204,494,0.9,151.590415,1.8,None,-32.932412
Castle Rock,10848,48,0.7,150.732863,1.8,None,-32.210062
Bombowlee,10459,79,0.8,148.279996,1.9,None,-35.278606
Cassilis (NSW),10844,90,0.7,149.980435,1.9,None,-32.007883
Cartwright,10838,542,0.9,147.389575,2.2,None,-35.069754
Edensor Park,11377,2676,1.3,150.875292,2,None,-33.877057
Lilli Pilli (Sutherland Shire - NSW),12322,394,1.2,116.3409,2.1,None,-33.3576
Cordeaux Heights,11070,1313,1.2,150.838399,2,None,-34.439801
Warren,14171,356,0.6,151.9204,2,None,-27.4503
Galston,11582,851,0.9,151.043059,2,None,-33.652661
Badgerys Creek,10132,50,0.9,150.741351,2.1,None,-33.883376
Blackalls Park,10390,760,0.8,151.584635,1.8,None,-33.000441
St Clair (Penrith - NSW),13632,5549,1.1,150.7879,1.9,None,-33.7979
Kurrajong Hills,12220,183,0.9,150.639331,2,None,-33.541464
Yallaroi,14456,26,0.8,150.480818,2.5,None,-29.119429
West Ryde,14251,3651,0.7,151.088724,1.6,None,-33.807712
Meadow Flat,12549,88,0.7,149.921282,1.9,None,-33.434919
Jerseyville,12022,31,0.5,153.035331,1.4,None,-30.9351
Mummel,12835,28,0.6,149.593517,1.8,None,-34.688445
Westmead,14261,4127,0.8,150.986608,1.6,None,-33.805332
Georgetown (NSW),11603,533,0.6,151.7286,1.7,None,-32.907814
Tregear,13934,900,1.2,150.795678,2.3,None,-33.751082
East Corrimal,11348,888,0.7,150.91118,1.8,None,-34.376363
Bournda,10524,36,0.6,149.912998,1.6,None,-36.836801
Tweed Heads,13984,2089,0.4,153.543747,1.6,None,-28.198486
Cedar Point,10871,47,0.7,152.992978,1.7,None,-28.681713
Thornton (NSW),13851,2340,1,151.638803,1.9,None,-32.776905
Kareela,12073,1033,1,151.082733,1.9,None,-34.014668
Winston Hills,14335,3274,1,150.987795,1.9,None,-33.776054
Tyagarah,13993,37,0.5,153.556171,1.7,None,-28.604443
Billinudgel,10355,58,0.5,153.528274,1.5,None,-28.504114
Luddenham,12419,452,1.3,150.693079,2.2,None,-33.883725
Lambton,12264,1306,0.7,151.690553,1.8,None,-32.932574
Woronora,14420,615,1,150.934492,1.9,None,-34.111532
Corbie Hill,11068,66,0.9,146.456385,2.1,None,-34.571538
Conargo,10998,29,0.6,145.181217,1.9,None,-35.302371
Maroubra,12501,7752,0.7,151.246592,1.7,None,-33.948856
Murrurundi,12864,253,0.6,150.834935,1.8,None,-31.763687
Belrose,10283,2328,0.9,151.278773,1.9,None,-33.761674
Yeoval,14507,101,0.6,148.649032,2,None,-32.751829
Mundongo,12840,66,0.9,148.25641,2.2,None,-35.291721
Manton (NSW),12481,81,0.8,148.998237,1.9,None,-34.85035
Dorrigo,11278,317,0.4,152.671483,1.6,None,-30.281126
Marlee,12494,60,0.7,152.319147,1.9,None,-31.798881
Blairmount,10401,107,1.3,150.799611,2.1,None,-34.049485
Lanitza,12270,72,0.6,152.996931,1.7,None,-29.883644
Hannam Vale,11849,55,0.4,152.591298,1.7,None,-31.712975
Valentine,14065,1648,0.8,151.635155,1.9,None,-33.008886
Schofields,13502,1358,1.1,150.888428,1.9,None,-33.697217
Wyee Point,14439,319,1,151.520566,2.1,None,-33.143718
Bourkelands,10523,787,0.9,147.355213,2,None,-35.150342
Wallalong,14104,278,1.2,151.649868,2.1,None,-32.696224
Tatton,13775,660,1.1,147.365282,2.1,None,-35.153335
Lake Heights,12248,1038,0.8,150.872531,1.9,None,-34.481581
Jesmond,12023,586,0.6,151.690858,1.9,None,-32.903131
Moorong,12715,38,1.3,147.318106,2.2,None,-35.122246
Dungowan,11321,113,0.9,151.12012,2,None,-31.214552
Dean Park,11224,830,1.1,150.860027,2,None,-33.73616
St Ives (NSW),13639,4995,1,151.158551,1.8,None,-33.730601
Macquarie Links,12435,364,1.3,150.867561,2,None,-33.982185
Tullamore,13954,111,0.6,147.564026,1.8,None,-32.631463
Llanarth (NSW),12362,598,0.9,149.557591,1.9,None,-33.399527
Broadwater (Bega Valley - NSW),10579,34,0.8,150.8136,2,None,-33.7679
Tumut,13966,1599,0.7,148.271903,1.9,None,-35.339564
Chester Hill,10899,3086,1.1,151.001185,2.1,None,-33.883157
Yerong Creek,14508,81,0.9,147.061231,2.1,None,-35.387447
Jindera,12032,585,1.1,146.885946,2.1,None,-35.950071
Way Way,14203,70,0.5,152.946259,1.7,None,-30.772886
Maryville,12518,390,0.5,151.753662,1.6,None,-32.911844
Illabo,11972,44,0.7,147.529705,1.9,None,-35.587981
Cambridge Gardens,10767,580,0.9,150.721712,1.9,None,-33.735558
Clareville,10923,233,0.6,151.313321,1.7,None,-33.634905
Kurrajong Heights,12219,370,0.9,150.628716,1.9,None,-33.523862
Werombi,14232,259,1.1,150.57174,2.1,None,-33.988918
Pilliga,13205,43,0.8,148.890833,1.8,None,-30.351861
Utungun,14062,48,0.8,152.833063,2.2,None,-30.730063
The Rock,13838,321,0.8,151.208782,2,None,-33.859251
Bilambil Heights,10348,931,0.8,153.490119,1.8,None,-28.212553
Koorawatha,12192,105,0.4,148.553887,1.8,None,-34.039891
Killara (NSW),12129,2946,0.9,151.162047,1.8,None,-33.766376
Wyee,14438,625,0.8,151.520566,1.9,None,-33.143718
Braunstone,10550,72,0.7,152.959309,1.8,None,-29.802551
Morisset Park,12724,220,0.8,151.530773,2,None,-33.121406
Fairfield West,11480,3021,1.2,150.922057,2,None,-33.868955
Coal Point,10943,515,0.6,151.612172,1.7,None,-33.041296
Hill Top (Wingecarribee - NSW),11905,730,1,150.4782,1.9,None,-34.344
Herons Creek,11897,63,0.8,152.72671,1.9,None,-31.587978
Brightwaters,10570,268,0.8,151.545925,1.9,None,-33.114455
Limekilns,12330,35,0.4,149.770699,1.3,None,-33.24008
St Ives Chase,13640,920,1.1,151.163446,1.9,None,-33.707895
Hawkesbury Heights,11872,132,1,150.650802,1.9,None,-33.665114
Enfield (NSW),11421,761,0.8,151.684977,1.7,None,-32.740212
Currarong,11176,127,0.4,150.824214,1.4,None,-35.018739
Paterson (NSW),13159,244,0.9,151.618293,1.9,None,-32.599153
Wyongah,14448,563,0.9,151.49038,1.9,None,-33.274859
McLeans Ridges,12545,160,0.8,153.407172,1.8,None,-28.79311
Coopers Shoot,11049,78,0.5,153.565131,1.5,None,-28.701278
Carinda,10814,40,0.5,147.691173,1.9,None,-30.461198
Holroyd,11925,336,0.8,150.993334,1.7,None,-33.829836
Narrabri,12903,1939,0.7,149.756588,1.9,None,-30.34053
Braidwood,10547,422,0.6,149.800868,1.8,None,-35.437701
Blakehurst,10403,1632,1.1,151.112314,2,None,-33.988743
Renwick,13350,184,0.8,117.9123,1.7,None,-35.0232
Upper Dartbrook,14022,41,0.6,150.697181,1.8,None,-31.938204
Hammondville,11844,875,0.9,150.953727,1.9,None,-33.948113
Mount Vernon,12796,296,1.3,150.807887,2.2,None,-33.862377
Holsworthy,11926,1333,1.2,150.949972,1.9,None,-33.950403
Oakwood (NSW),13061,46,0.7,151.0584,2,None,-29.6408
Englorie Park,11423,112,0.9,150.795131,1.8,None,-34.082052
Hillsdale,11911,1424,0.7,151.231341,1.6,None,-33.952685
Maules Creek,12526,32,0.4,150.080679,1.4,None,-30.483004
Glossodia,11684,789,1.1,150.765856,1.9,None,-33.535657
Raworth,13325,504,1.1,151.607064,2,None,-32.735981
Riverview (NSW),13370,848,1.2,150.631177,2,None,-33.734273
St Albans (NSW),13630,35,0.2,150.970263,1.9,None,-33.290934
Urliup,14060,61,0.6,153.398923,1.5,None,-28.257434
Berkshire Park,10305,291,1.2,150.79576,2.1,None,-33.672237
Mudgee,12812,2723,0.7,149.586126,1.9,None,-32.59072
Neutral Bay,12934,2608,0.4,151.222401,1.5,None,-33.831529
Saumarez Ponds,13495,117,0.9,151.568904,2.1,None,-30.507476
Burroway,10715,35,0.6,148.263375,1.8,None,-32.057228
Eureka (NSW),11461,88,0.7,153.438375,2,None,-28.683763
Henty (NSW),11892,311,0.8,147.035781,2.2,None,-35.517186
Wattle Ponds,14193,303,1.3,151.180978,2.2,None,-32.516603
Darling Point,11211,1050,0.3,151.236683,1.5,None,-33.873808
Barraba,10206,342,0.4,150.610642,1.9,None,-30.378339
Centennial Park (NSW),10873,535,0.4,151.2324,1.7,None,-33.8979
Glendon Brook,11661,69,1,151.3968,1.9,None,-32.4776
Goonellabah,11711,3352,0.7,153.317704,1.9,None,-28.819841
Bonshaw (NSW),10473,34,1.1,151.275344,2.6,None,-29.050296
Charmhaven,10889,650,0.8,151.502912,2,None,-33.229912
Budgewoi,10642,929,0.6,151.584067,1.7,None,-33.21956
Maitland Vale,12451,35,1,151.559855,2.1,None,-32.677299
West Wollongong,14255,1228,0.7,150.867207,1.8,None,-34.424649
Killarney Heights,12130,1255,1.2,151.216125,2,None,-33.773728
Denistone,11238,1057,0.9,151.066085,1.8,None,-33.802382
Bogangar,10439,820,0.7,153.542241,1.8,None,-28.332381
Dundee,11314,45,0.5,151.865748,1.6,None,-29.566687
Newcastle West,12951,99,0.1,151.761141,1.3,None,-32.924908
Peak Hill (NSW),13166,282,0.5,148.185188,1.7,None,-32.725328
Mount Keira,12768,460,1,150.845276,2,None,-34.395938
Leycester,12314,43,0.8,153.19986,2.4,None,-28.782333
Beaumont (NSW),10242,32,0.4,150.561629,2,None,-34.781805
Neath,12917,118,0.6,151.408291,1.8,None,-32.827058
Little Forest,12351,51,0.5,150.394697,1.6,None,-35.295789
Braemar,10545,122,0.8,148.6702,2,None,-36.1022
Lane Cove West,12268,723,0.9,151.153281,1.9,None,-33.806246
Aberdeen (NSW),10007,546,0.8,151.080554,1.9,None,-29.996058
Worrigee,14423,1367,1,150.626074,2,None,-34.89037
Murrays Beach,12854,195,0.9,150.766973,1.9,None,-34.927534
Dalwood (Ballina - NSW),11195,68,0.7,153.4151,2,None,-28.8939
Millers Point,12619,390,0.2,151.203519,1.3,None,-33.858315
Tathra,13774,443,0.5,149.985917,1.7,None,-36.729728
Padstow,13120,3592,0.9,151.030955,1.8,None,-33.971073
Croydon (NSW),11134,2734,0.8,151.114771,1.8,None,-33.883163
Bray Park (NSW),10552,212,0.8,150.549363,1.9,None,-34.157496
Torryburn (Dungog - NSW),13920,49,0.8,151.5822,1.8,None,-32.4738
Warilla,14151,1636,0.7,150.85995,1.8,None,-34.552573
Wendoree Park,14224,30,1.1,151.155631,2,None,-33.455552
St Marys (NSW),13643,2994,0.8,150.774015,1.9,None,-33.76676
Brooms Head,10603,61,0.2,153.33314,1.2,None,-29.604668
Yetman,14514,56,0.7,150.780675,2.1,None,-28.902557
Kirkham,12171,189,1.2,150.71674,2,None,-34.038536
South Windsor,13601,1526,0.8,150.804452,1.8,None,-33.620168
Castle Cove,10845,724,1,151.199948,1.9,None,-33.784165
Cronulla,11119,4756,0.5,151.153662,1.7,None,-34.051972
Putta Bucca,13278,60,0.8,149.584181,2,None,-32.570896
Kahibah,12048,686,0.7,151.712351,1.8,None,-32.961795
Mitchells Flat,12651,58,1.3,151.288741,2.1,None,-32.558246
Rand,13311,56,0.8,146.55696,2.1,None,-34.744609
Callala Bay,10757,638,0.7,150.718141,1.9,None,-34.98761
Gundaroo,11805,325,0.9,149.20979,2,None,-35.127745
Quaama,13285,75,0.5,149.87009,1.8,None,-36.464379
Lower Belford,12401,111,1,151.286484,1.9,None,-32.608791
East Albury,11344,1542,0.6,146.929105,1.8,None,-36.075617
Sylvania Waters,13718,901,1,151.115847,1.8,None,-34.019802
Tyndale,13997,46,0.6,153.148717,1.5,None,-29.56176
Whitebridge,14276,741,0.9,151.711319,1.8,None,-32.981227
Killarney Vale,12131,1903,0.8,151.459783,1.8,None,-33.369601
Fitzroy Falls,11529,55,0.7,150.478478,2.2,None,-34.640976
Carlingford,10818,6871,0.9,151.047719,1.7,None,-33.763237
Warragamba,14158,325,0.8,150.604819,1.9,None,-33.889727
Marsden Park,12505,244,0.7,150.832318,1.9,None,-33.697585
Claymore,10924,512,1.6,150.810024,2.4,None,-34.045524
Currans Hill,11175,1444,1.2,150.764007,2,None,-34.045179
Possum Creek,13252,73,0.5,153.491771,1.5,None,-28.668944
Glenreagh,11675,225,0.8,152.978971,1.9,None,-30.05106
Gilgandra,11619,794,0.6,148.663131,1.9,None,-31.711715
Peats Ridge,13172,89,0.9,151.229736,2,None,-33.351199
South Bathurst,13577,382,0.6,149.578565,1.8,None,-33.440113
Nana Glen,12889,294,0.8,153.004853,1.9,None,-30.136199
Frazers Creek,11560,55,0.7,152.647378,1.8,None,-31.413193
Willoughby (NSW),14303,1722,0.9,151.1986,1.8,None,-33.801483
Emerald Beach,11411,640,0.8,153.182459,1.8,None,-30.166597
Greenhill (NSW),11763,170,0.9,152.800013,2,None,-31.060154
Terania Creek,13794,46,0.6,153.29947,1.9,None,-28.609209
Eungella (NSW),11460,81,0.8,153.311519,2.1,None,-28.353761
Lewis Ponds,12312,40,0.9,149.2407,1.8,None,-33.2122
Emu Plains,11418,2269,0.9,150.653269,1.9,None,-33.754097
South Lismore,13589,412,0.7,153.269477,1.9,None,-28.809302
Missabotti,12649,89,0.7,152.805912,2,None,-30.567278
Taren Point,13766,453,0.6,151.125456,1.8,None,-34.012545
Point Clare,13231,1024,0.8,151.320952,1.8,None,-33.436772
South Murwillumbah,13593,269,0.7,153.400759,1.8,None,-28.32897
St Peters (NSW),13644,763,0.4,151.180126,1.5,None,-33.911062
Spring Hill (Cabonne - NSW),13615,134,0.8,145.2023,1.9,None,-38.3564
Dunedoo,11316,294,0.6,149.395838,2,None,-32.016184
Tarago,13758,124,0.7,149.628735,1.7,None,-35.084503
Eatonsville,11370,63,0.7,152.831293,2,None,-29.640182
Mount Austin,12748,965,0.7,147.358403,1.9,None,-35.133028
Berry,10322,746,0.5,148.494076,1.8,None,-33.187179
Rosebank,13401,115,0.5,153.392176,1.8,None,-28.663494
Cattai,10859,203,1,150.909515,1.9,None,-33.555841
Bugaldie,10646,40,0.6,149.110038,2.6,None,-31.122204
Sapphire Beach,13491,586,0.7,153.147953,1.8,None,-30.233163
Mirador,12644,125,0.7,149.9199,1.7,None,-36.8768
North Wollongong,13017,462,0.3,150.895575,1.5,None,-34.41436
Terramungamine,13801,76,0.9,148.573778,1.9,None,-32.153936
Merimbula,12575,900,0.4,149.910553,1.6,None,-36.887762
Singleton Heights,13550,1198,0.9,151.162145,1.9,None,-32.546727
Robin Hill,13375,267,0.9,149.550475,2.1,None,-33.41473
Curlwaa,11170,108,0.5,141.965558,1.6,None,-34.09281
McKellars Park,12544,62,0.5,150.154148,1.5,None,-33.47156
Airds,10022,715,1.2,150.829041,2.1,None,-34.084468
Green Point (Central Coast - NSW),11753,1808,0.7,151.3829,1.8,None,-33.4532
Springvale (Wagga Wagga - NSW),13628,464,1.3,147.3181,2.2,None,-35.1708
Bective,10245,56,0.6,150.772119,1.9,None,-30.988172
Limbri,12327,32,0.3,151.154777,1.9,None,-31.039192
Lapstone,12276,259,0.9,150.636657,1.9,None,-33.774112
West Albury,14239,967,0.6,146.890443,1.8,None,-36.073344
Mortlake (NSW),12729,303,0.6,151.10698,1.6,None,-33.843435
South Guyra,13586,82,0.8,151.67116,1.8,None,-30.235762
Werrington,14235,1070,0.7,150.733755,1.7,None,-33.740586
Davidson,11219,835,1,151.194197,1.9,None,-33.738731
Boomi,10489,45,0.4,152.603955,1.7,None,-28.470421
Harris Park,11860,1426,0.6,151.008961,1.4,None,-33.822427
Maianbar,12443,149,0.7,151.129788,1.7,None,-34.081826
Nabiac,12885,359,0.7,152.377769,1.9,None,-32.098694
North Albury,12977,1459,0.6,146.931552,1.8,None,-36.062952
Lismore Heights,12345,575,0.6,153.301267,1.8,None,-28.80624
Michelago,12598,139,0.9,150.865056,2,None,-33.94239
Voyager Point,14079,472,1.2,150.97238,1.9,None,-33.964547
North Willoughby,13016,1145,0.9,151.195787,1.8,None,-33.793089
Seven Hills (NSW),13518,5174,0.9,150.934257,1.8,None,-33.775477
Turners Flat,13976,42,1,152.7,1.8,None,-31.017039
Cullen Bullen,11148,61,0.4,150.032518,1.4,None,-33.303402
Hyland Park,11968,116,0.6,152.999909,1.7,None,-30.615511
Croudace Bay,11128,159,1.1,151.643488,2.1,None,-33.00492
Temora,13784,1244,0.7,147.533742,2,None,-34.446858
Dolans Bay,11266,175,1,151.126746,2,None,-34.05968
Binalong,10362,149,0.6,148.628209,1.7,None,-34.670932
Numbugga,13038,37,0.7,149.711811,1.8,None,-36.652366
Henley,11891,125,1,151.135943,1.9,None,-33.842216
Brombin,10593,30,0.9,152.626737,1.8,None,-31.453817
Vacy,14063,184,0.8,151.57715,1.9,None,-32.543458
Billywillinga,10357,55,0.7,149.43985,1.6,None,-33.273015
Rock Forest,13377,54,0.8,149.396538,1.6,None,-33.354231
Dora Creek,11277,472,0.6,151.501807,1.7,None,-33.083587
Oakdale (NSW),13054,476,1,150.513639,2,None,-34.078174
Marchmont,12487,68,1,148.954609,2.2,None,-34.876217
Mondrook,12676,50,0.7,152.414571,2,None,-31.906971
Menah,12566,40,0.8,149.542687,2.1,None,-32.548716
Menai,12567,2929,1.1,151.063767,1.9,None,-33.998425
Morts Estate,12732,162,0.7,150.168076,1.7,None,-33.468424
Monaltrie,12674,57,0.5,153.278455,1.6,None,-28.851075
Surry Hills,13699,3173,0.1,151.213328,1.4,None,-33.888821
Brucedale,10613,52,1,147.413057,2,None,-35.001237
Roseville,13412,2717,1,151.195195,1.9,None,-33.778902
Tullimbar,13958,163,0.9,150.739102,1.7,None,-34.577122
Eagle Vale,11341,1599,1.1,150.814153,1.9,None,-34.037882
Cudmirrah,11145,84,0.4,150.557818,1.6,None,-35.19804
Bemboka,10284,154,0.6,149.572964,2.3,None,-36.629917
Marmong Point,12498,207,0.8,151.618115,1.9,None,-32.983019
Woomargama,14413,45,0.7,147.247561,2.1,None,-35.832854
Mount Arthur,12747,44,0.7,148.935597,1.9,None,-32.554619
Boomerang Beach,10487,75,0.6,152.541677,1.7,None,-32.339201
Baan Baa,10120,46,0.5,149.966153,2.2,None,-30.60138
Leconfield,12291,46,0.8,151.392441,2.1,None,-32.651348
North Arm Cove,12979,131,0.4,152.037583,1.8,None,-32.65912
Myall Park (NSW),12873,50,1.2,146.108252,2.2,None,-34.177539
Glendale (NSW),11658,843,0.7,151.650189,1.8,None,-32.926823
Mount Olive (Singleton - NSW),12781,46,0.5,151.2251,1.5,None,-32.4078
Hastings Point,11868,186,0.2,153.576246,1.5,None,-28.361966
East Kurrajong,11356,582,1.2,150.764601,2,None,-33.514481
Euroka,11464,103,0.8,152.796699,2.3,None,-31.079521
Bingie,10367,59,0.4,150.153153,1.6,None,-36.01113
East Kempsey,11354,335,0.7,152.845507,1.9,None,-31.082158
Congarinni,11005,102,0.7,152.879726,2,None,-30.684156
Rushes Creek,13445,29,0.6,150.602886,1.9,None,-30.803044
Brierfield,10568,89,0.8,152.893178,2,None,-30.503895
Wantabadgery,14136,43,0.7,147.752829,1.9,None,-35.042064
Mount Frome,12760,36,0.6,149.644578,1.9,None,-32.605845
Oakhurst (NSW),13058,1814,1.3,150.834819,2,None,-33.744048
Killingworth (NSW),12137,199,1.2,151.560841,2,None,-32.934544
Bellevue Hill,10271,2668,0.7,151.258935,1.9,None,-33.887189
Charlotte Bay,10887,45,0.6,152.505783,1.6,None,-32.355227
North Tumbulgum,13012,67,0.7,153.470406,2,None,-28.26807
Newington (NSW),12953,1643,1,151.054828,1.7,None,-33.839276
Collingullie,10976,59,0.9,147.11146,1.8,None,-35.071845
Valery,14066,37,0.6,152.944546,1.7,None,-30.386986
Mount View,12798,28,0.4,151.270297,1.3,None,-32.852431
Frogmore,11571,37,0.6,148.85376,2.2,None,-34.233648
Yarramundi,14477,215,1.4,150.672695,2.2,None,-33.627259
Elong Elong,11406,35,0.3,149.026202,1.2,None,-32.116012
Avoca Beach,10114,1251,1,151.432387,1.9,None,-33.464937
Burwood (NSW),10718,3514,0.5,151.103682,1.6,None,-33.877423
Canoelands,10794,49,0.9,151.061148,1.9,None,-33.508714
Korora,12197,738,0.7,153.129008,1.8,None,-30.257145
Kogarah Bay,12182,561,1,151.123296,1.9,None,-33.979117
Maryland (Newcastle - NSW),12514,2155,0.9,151.662,1.8,None,-32.8814
Morton,12730,62,0.5,150.304367,1.6,None,-35.419406
Wetherill Park,14264,1708,1.1,150.913204,1.9,None,-33.847512
Stratheden,13674,66,0.6,152.954303,1.7,None,-28.80272
Pyrmont,13284,3102,0.3,151.19393,1.4,None,-33.869709
Wyoming,14445,2579,0.8,151.350776,1.9,None,-33.40485
Round Mountain,13425,38,0.5,153.549795,1.4,None,-28.36206
Berala,10299,2285,0.9,151.031033,1.8,None,-33.871904
Coomba Bay,11037,36,0.2,152.443552,1.5,None,-32.263911
Ashmont,10101,949,0.8,147.329956,1.9,None,-35.12318
Dum Dum,11304,35,0.3,153.334075,1.5,None,-28.387826
Bullaburra,10656,337,0.7,150.41364,1.8,None,-33.722751
Chifley (NSW),10901,846,1,151.240248,1.8,None,-33.976546
Coorabell,11051,107,0.6,153.481025,1.6,None,-28.634356
Lansdowne (Mid-Coast - NSW),12273,167,0.7,152.5205,2,None,-31.7586
