city,code,People,lon,Median age,Female,lat,Male
Miller,12617,3237,151.702595,36,0.502,-32.763539,0.498
Cobar,10949,3990,145.4147,35,0.49,-31.9338,0.51
Merewether Heights,12574,1400,151.736231,42,0.511,-32.948242,0.489
Hornsby Heights,11937,6305,151.095503,40,0.508,-33.670086,0.492
Warabrook,14140,1972,151.719957,44,0.534,-32.887886,0.466
Willow Tree,14305,308,150.726216,46,0.475,-31.648589,0.525
Salamander Bay,13463,4815,152.076399,52,0.532,-32.720937,0.468
Lochiel (NSW),12367,354,149.747092,46,0.482,-36.921998,0.518
Baw Baw (NSW),10234,260,149.6454,48,0.479,-34.7101,0.521
Gladesville,11638,11827,151.126964,39,0.52,-33.832894,0.48
Mullumbimby Creek,12829,548,153.46472,46,0.49,-28.558202,0.51
Uralla (NSW),14051,2743,151.502566,45,0.536,-30.642829,0.464
Urbenville,14057,321,152.548088,52,0.505,-28.472759,0.495
Clarence,10919,200,153.0463,51,0.533,-30.0367,0.467
Lakemba,12257,17023,151.075921,31,0.46,-33.920457,0.54
Cobaki,10947,205,153.471389,41,0.45,-28.175328,0.55
Yass River,14494,350,149.096916,43,0.517,-34.9072,0.483
Deepwater (NSW),11231,435,151.847464,56,0.485,-29.44232,0.515
Umina Beach,14007,16733,151.307503,44,0.52,-33.528746,0.48
Thirroul,13848,6083,150.923793,42,0.502,-34.314739,0.498
Cooperabung,11046,296,152.808768,42,0.454,-31.284405,0.546
Russell Vale,13448,1547,150.900783,39,0.501,-34.358093,0.499
Brayton,10554,173,149.964356,48,0.472,-34.647901,0.528
Lake Albert (NSW),12238,6192,147.381816,42,0.515,-35.166085,0.485
Valla Beach,14068,1313,153.008479,53,0.535,-30.591805,0.465
Haymarket,11877,7353,151.202796,27,0.519,-33.880777,0.481
Bargo,10198,4393,150.580103,40,0.497,-34.289443,0.503
Cootamundra,11053,6782,148.024671,49,0.512,-34.639089,0.488
Turramurra,13980,11919,151.129809,42,0.516,-33.733244,0.484
Collins Creek,10978,132,153.020382,53,0.47,-28.495304,0.53
Benandarah,10287,166,150.228251,55,0.42,-35.660936,0.58
Blackmans Point,10395,170,152.851836,54,0.479,-31.400666,0.521
Cumberland Reach,11156,181,150.896276,39,0.473,-33.455858,0.527
Belfield,10257,6322,151.083553,39,0.516,-33.902107,0.484
Coolagolite,11023,278,149.926402,53,0.48,-36.429324,0.52
Woodstock (Cowra - NSW),14394,701,151.0512,54,0.475,-29.2137,0.525
Shalvey,13523,3467,150.808375,30,0.52,-33.729373,0.48
Millingandi,12622,446,149.867994,61,0.493,-36.872365,0.507
Lochinvar,12368,784,151.45479,45,0.502,-32.699039,0.498
Gosford,11722,3499,151.360909,35,0.471,-33.451762,0.529
Beckom,10244,125,146.959974,41,0.427,-34.32731,0.573
Grays Point,11743,3125,151.081652,41,0.503,-34.05884,0.497
Sandringham (NSW),13478,1238,151.139252,46,0.521,-33.998763,0.479
Keith Hall,12086,171,153.531951,43,0.453,-28.889839,0.547
Cooyal,11055,114,149.757343,42,0.427,-32.450436,0.573
Parkesbourne,13152,170,149.521444,52,0.426,-34.761895,0.574
Moruya Heads,12735,976,150.132617,50,0.509,-35.913602,0.491
Binya,10373,140,146.337827,37,0.445,-34.228297,0.555
Narooma,12900,2605,150.119086,57,0.492,-36.202678,0.508
Abernethy,10011,348,151.396677,32,0.477,-32.883242,0.523
Koonorigan,12188,303,153.237965,48,0.489,-28.67516,0.511
Cringila,11116,2198,150.871375,36,0.482,-34.471575,0.518
Terranora,13802,2926,153.502795,40,0.505,-28.240724,0.495
Mount Rankin,12786,379,149.496674,43,0.478,-33.316695,0.522
Eveleigh,11471,663,151.19113,31,0.556,-33.897075,0.444
Howes Valley,11948,124,150.835756,50,0.463,-32.844284,0.537
Lisarow,12343,5136,151.371283,40,0.51,-33.380843,0.49
Shelly Beach (NSW),13535,1318,151.485687,45,0.503,-33.368675,0.497
Northmead,13023,11215,150.994336,37,0.527,-33.783849,0.473
Erina,11433,4774,146.7306,59,0.571,-29.5364,0.429
Red Head,13329,514,152.531451,52,0.522,-32.058603,0.478
La Perouse,12230,399,151.231507,43,0.506,-33.989634,0.494
Burra (Queanbeyan-Palerang Regional - NSW),10697,794,149.2299,46,0.509,-35.5659,0.491
The Hill,13826,1943,151.777382,33,0.501,-32.929808,0.499
Rockdale,13379,15534,151.137624,32,0.482,-33.952747,0.518
Yanderra,14461,661,150.569254,35,0.513,-34.324175,0.487
Erskineville,11439,8014,151.186192,34,0.486,-33.902234,0.514
Tallimba,13732,184,146.879692,44,0.447,-33.994402,0.553
Bishops Bridge,10380,248,151.467064,45,0.5,-32.746391,0.5
Palmers Channel,13135,119,153.279261,53,0.5,-29.459505,0.5
Narraweena,12910,6608,151.274687,43,0.524,-33.749912,0.476
Oxley Park,13110,3112,150.79264,32,0.52,-33.771261,0.48
Linden (NSW),12335,501,150.504477,44,0.485,-33.715529,0.515
Parma,13155,169,150.552694,48,0.515,-34.963298,0.485
Mount Kembla,12769,1068,150.820503,40,0.523,-34.432799,0.477
Coniston,11010,2268,150.885559,38,0.504,-34.436545,0.496
Huntleys Cove,11960,750,151.144587,50,0.526,-33.839798,0.474
Beaumont Hills,10243,9042,150.946875,35,0.503,-33.703416,0.497
Colyton,10987,8439,150.793433,35,0.504,-33.776657,0.496
East Tamworth,11363,5342,150.949994,42,0.544,-31.10529,0.456
Barooga,10205,1817,145.688503,44,0.492,-35.913566,0.508
Conjola Park,11012,340,150.452135,51,0.484,-35.371593,0.516
Tatham,13773,207,153.158653,41,0.527,-28.928919,0.473
Avalon Beach,10111,9905,151.330596,44,0.513,-33.636325,0.487
Tuncurry,13969,6186,152.499268,61,0.524,-32.174624,0.476
Euberta,11451,139,147.190921,46,0.493,-35.059159,0.507
South Hurstville,13587,5147,151.104909,37,0.52,-33.977595,0.48
Araluen (NSW),10070,168,149.812149,55,0.461,-35.64693,0.539
Cliftleigh,10932,888,151.523259,24,0.5,-32.784916,0.5
Kundabung,12209,630,152.823012,43,0.503,-31.208615,0.497
Silverwater (Lake Macquarie - NSW),13546,301,151.5586,44,0.536,-33.103,0.464
Guildford (NSW),11790,22331,150.988073,31,0.493,-33.867084,0.507
Rappville,13318,169,152.953134,44,0.448,-29.084845,0.552
Palmers Island,13136,458,153.288677,47,0.502,-29.420289,0.498
Moruya,12734,3982,150.132617,51,0.5,-35.913602,0.5
Lavender Bay,12285,941,151.208015,39,0.518,-33.84307,0.482
Fingal Head,11519,592,153.565709,45,0.502,-28.204156,0.498
Fishermans Paradise,11523,477,150.448704,51,0.474,-35.229709,0.526
Scotland Island,13505,579,151.290116,45,0.486,-33.641752,0.514
Biniguy,10369,147,150.136946,37,0.48,-29.580064,0.52
Rossmore (NSW),13420,2286,150.772763,39,0.476,-33.945965,0.524
Numbaa,13035,111,150.678484,45,0.451,-34.873429,0.549
Bowman,10531,139,151.780768,50,0.5,-31.922744,0.5
Minimbah,12636,208,152.361412,47,0.476,-32.148267,0.524
Revesby Heights,13356,1667,151.015063,35,0.527,-33.968802,0.473
Forest Hill (NSW),11544,2274,151.55001,28,0.463,-32.707981,0.537
Blackville,10398,113,150.30281,46,0.482,-31.65821,0.518
East Maitland,11360,11782,151.589963,40,0.515,-32.75112,0.485
Berrambool,10312,456,149.917402,52,0.508,-36.8788,0.492
Googong,11704,2690,149.230757,32,0.505,-35.391776,0.495
Glenthorne,11680,231,152.480283,50,0.489,-31.914405,0.511
Rock Valley,13378,265,153.174403,50,0.53,-28.747359,0.47
Woodlands (Wingecarribee - NSW),14388,272,150.3995,48,0.465,-34.4082,0.535
Eltham (NSW),11409,343,153.409529,45,0.523,-28.754287,0.477
Barnsley,10204,1747,151.590415,36,0.5,-32.932412,0.5
Castle Rock,10848,175,150.732863,43,0.48,-32.210062,0.52
Bombowlee,10459,293,148.279996,47,0.454,-35.278606,0.546
Cassilis (NSW),10844,304,149.980435,42,0.487,-32.007883,0.513
Cartwright,10838,2370,147.389575,37,0.497,-35.069754,0.503
Edensor Park,11377,9772,150.875292,36,0.512,-33.877057,0.488
Lilli Pilli (Sutherland Shire - NSW),12322,1390,116.3409,42,0.505,-33.3576,0.495
Cordeaux Heights,11070,4559,150.838399,39,0.495,-34.439801,0.505
Warren,14171,1389,151.9204,43,0.507,-27.4503,0.493
Galston,11582,3139,151.043059,44,0.512,-33.652661,0.488
Badgerys Creek,10132,225,150.741351,37,0.495,-33.883376,0.505
Blackalls Park,10390,2753,151.584635,42,0.519,-33.000441,0.481
St Clair (Penrith - NSW),13632,19897,150.7879,34,0.503,-33.7979,0.497
Kurrajong Hills,12220,668,150.639331,44,0.527,-33.541464,0.473
Yallaroi,14456,118,150.480818,35,0.433,-29.119429,0.567
West Ryde,14251,13394,151.088724,35,0.512,-33.807712,0.488
Meadow Flat,12549,309,149.921282,44,0.505,-33.434919,0.495
Jerseyville,12022,112,153.035331,54,0.496,-30.9351,0.504
Mummel,12835,112,149.593517,43,0.526,-34.688445,0.474
Westmead,14261,16309,150.986608,33,0.496,-33.805332,0.504
Georgetown (NSW),11603,1960,151.7286,37,0.526,-32.907814,0.474
Tregear,13934,3886,150.795678,29,0.508,-33.751082,0.492
East Corrimal,11348,3405,150.91118,38,0.5,-34.376363,0.5
Bournda,10524,152,149.912998,46,0.461,-36.836801,0.539
Tweed Heads,13984,8176,153.543747,56,0.522,-28.198486,0.478
Cedar Point,10871,170,152.992978,51,0.453,-28.681713,0.547
Thornton (NSW),13851,8062,151.638803,35,0.504,-32.776905,0.496
Kareela,12073,3459,151.082733,42,0.501,-34.014668,0.499
Winston Hills,14335,11674,150.987795,40,0.516,-33.776054,0.484
Tyagarah,13993,152,153.556171,51,0.517,-28.604443,0.483
Billinudgel,10355,218,153.528274,47,0.481,-28.504114,0.519
Luddenham,12419,1828,150.693079,35,0.507,-33.883725,0.493
Lambton,12264,4909,151.690553,39,0.523,-32.932574,0.477
Woronora,14420,2201,150.934492,42,0.492,-34.111532,0.508
Corbie Hill,11068,228,146.456385,49,0.413,-34.571538,0.587
Conargo,10998,123,145.181217,46,0.405,-35.302371,0.595
Maroubra,12501,30688,151.246592,37,0.516,-33.948856,0.484
Murrurundi,12864,1038,150.834935,48,0.534,-31.763687,0.466
Belrose,10283,8780,151.278773,45,0.519,-33.761674,0.481
Yeoval,14507,430,148.649032,45,0.52,-32.751829,0.48
Mundongo,12840,207,148.25641,47,0.531,-35.291721,0.469
Manton (NSW),12481,294,148.998237,45,0.512,-34.85035,0.488
Dorrigo,11278,1191,152.671483,55,0.542,-30.281126,0.458
Marlee,12494,219,152.319147,48,0.495,-31.798881,0.505
Blairmount,10401,422,150.799611,29,0.487,-34.049485,0.513
Lanitza,12270,297,152.996931,46,0.463,-29.883644,0.537
Hannam Vale,11849,183,152.591298,53,0.506,-31.712975,0.494
Valentine,14065,5516,151.635155,45,0.504,-33.008886,0.496
Schofields,13502,4983,150.888428,32,0.496,-33.697217,0.504
Wyee Point,14439,1129,151.520566,41,0.492,-33.143718,0.508
Bourkelands,10523,2852,147.355213,34,0.519,-35.150342,0.481
Wallalong,14104,1030,151.649868,37,0.498,-32.696224,0.502
Tatton,13775,2616,147.365282,37,0.514,-35.153335,0.486
Lake Heights,12248,3845,150.872531,39,0.502,-34.481581,0.498
Jesmond,12023,3045,151.690858,29,0.496,-32.903131,0.504
Moorong,12715,177,147.318106,30,0.542,-35.122246,0.458
Dungowan,11321,398,151.12012,39,0.496,-31.214552,0.504
Dean Park,11224,3227,150.860027,34,0.514,-33.73616,0.486
St Ives (NSW),13639,17300,151.158551,42,0.524,-33.730601,0.476
Macquarie Links,12435,1360,150.867561,35,0.496,-33.982185,0.504
Tullamore,13954,424,147.564026,52,0.462,-32.631463,0.538
Llanarth (NSW),12362,2198,149.557591,37,0.518,-33.399527,0.482
Broadwater (Bega Valley - NSW),10579,117,150.8136,44,0.5,-33.7679,0.5
Tumut,13966,6230,148.271903,43,0.512,-35.339564,0.488
Chester Hill,10899,12814,151.001185,35,0.51,-33.883157,0.49
Yerong Creek,14508,352,147.061231,43,0.537,-35.387447,0.463
Jindera,12032,2222,146.885946,37,0.501,-35.950071,0.499
Way Way,14203,239,152.946259,49,0.502,-30.772886,0.498
Maryville,12518,1444,151.753662,37,0.501,-32.911844,0.499
Illabo,11972,144,147.529705,47,0.527,-35.587981,0.473
Cambridge Gardens,10767,2014,150.721712,35,0.512,-33.735558,0.488
Clareville,10923,742,151.313321,54,0.527,-33.634905,0.473
Kurrajong Heights,12219,1342,150.628716,43,0.509,-33.523862,0.491
Werombi,14232,930,150.57174,39,0.496,-33.988918,0.504
Pilliga,13205,217,148.890833,41,0.475,-30.351861,0.525
Utungun,14062,168,152.833063,50,0.488,-30.730063,0.512
The Rock,13838,1236,151.208782,46,0.504,-33.859251,0.496
Bilambil Heights,10348,3364,153.490119,43,0.508,-28.212553,0.492
Koorawatha,12192,427,148.553887,53,0.471,-34.039891,0.529
Killara (NSW),12129,10574,151.162047,40,0.525,-33.766376,0.475
Wyee,14438,2406,151.520566,46,0.511,-33.143718,0.489
Braunstone,10550,294,152.959309,50,0.488,-29.802551,0.512
Morisset Park,12724,743,151.530773,42,0.522,-33.121406,0.478
Fairfield West,11480,11575,150.922057,36,0.51,-33.868955,0.49
Coal Point,10943,1723,151.612172,50,0.506,-33.041296,0.494
Hill Top (Wingecarribee - NSW),11905,2674,150.4782,33,0.491,-34.344,0.509
Herons Creek,11897,247,152.72671,45,0.482,-31.587978,0.518
Brightwaters,10570,903,151.545925,46,0.505,-33.114455,0.495
Limekilns,12330,111,149.770699,39,0.505,-33.24008,0.495
St Ives Chase,13640,3154,151.163446,42,0.509,-33.707895,0.491
Hawkesbury Heights,11872,456,150.650802,36,0.511,-33.665114,0.489
Enfield (NSW),11421,2833,151.684977,39,0.505,-32.740212,0.495
Currarong,11176,452,150.824214,59,0.47,-35.018739,0.53
Paterson (NSW),13159,892,151.618293,41,0.512,-32.599153,0.488
Wyongah,14448,2020,151.49038,36,0.51,-33.274859,0.49
McLeans Ridges,12545,510,153.407172,46,0.505,-28.79311,0.495
Coopers Shoot,11049,265,153.565131,54,0.5,-28.701278,0.5
Carinda,10814,158,147.691173,44,0.475,-30.461198,0.525
Holroyd,11925,1275,150.993334,31,0.475,-33.829836,0.525
Narrabri,12903,7606,149.756588,39,0.512,-30.34053,0.488
Braidwood,10547,1651,149.800868,46,0.521,-35.437701,0.479
Blakehurst,10403,6219,151.112314,41,0.511,-33.988743,0.489
Renwick,13350,573,117.9123,39,0.536,-35.0232,0.464
Upper Dartbrook,14022,146,150.697181,42,0.493,-31.938204,0.507
Hammondville,11844,3493,150.953727,39,0.526,-33.948113,0.474
Mount Vernon,12796,1192,150.807887,38,0.483,-33.862377,0.517
Holsworthy,11926,5476,150.949972,30,0.461,-33.950403,0.539
Oakwood (NSW),13061,164,151.0584,44,0.423,-29.6408,0.577
Englorie Park,11423,416,150.795131,31,0.533,-34.082052,0.467
Hillsdale,11911,5501,151.231341,33,0.501,-33.952685,0.499
Maules Creek,12526,113,150.080679,42,0.469,-30.483004,0.531
Glossodia,11684,2828,150.765856,33,0.493,-33.535657,0.507
Raworth,13325,1788,151.607064,34,0.513,-32.735981,0.487
Riverview (NSW),13370,3354,150.631177,37,0.44,-33.734273,0.56
St Albans (NSW),13630,158,150.970263,62,0.49,-33.290934,0.51
Urliup,14060,194,153.398923,54,0.487,-28.257434,0.513
Berkshire Park,10305,2134,150.79576,34,0.373,-33.672237,0.627
Mudgee,12812,10923,149.586126,37,0.512,-32.59072,0.488
Neutral Bay,12934,10488,151.222401,36,0.531,-33.831529,0.469
Saumarez Ponds,13495,438,151.568904,41,0.515,-30.507476,0.485
Burroway,10715,118,148.263375,43,0.484,-32.057228,0.516
Eureka (NSW),11461,343,153.438375,45,0.513,-28.683763,0.487
Henty (NSW),11892,1237,147.035781,46,0.502,-35.517186,0.498
Wattle Ponds,14193,1123,151.180978,36,0.487,-32.516603,0.513
Darling Point,11211,4190,151.236683,48,0.547,-33.873808,0.453
Barraba,10206,1410,150.610642,55,0.516,-30.378339,0.484
Centennial Park (NSW),10873,2376,151.2324,35,0.517,-33.8979,0.483
Glendon Brook,11661,266,151.3968,39,0.466,-32.4776,0.534
Goonellabah,11711,12900,153.317704,41,0.535,-28.819841,0.465
Bonshaw (NSW),10473,133,151.275344,35,0.492,-29.050296,0.508
Charmhaven,10889,2551,151.502912,37,0.504,-33.229912,0.496
Budgewoi,10642,3360,151.584067,45,0.503,-33.21956,0.497
Maitland Vale,12451,135,151.559855,41,0.453,-32.677299,0.547
West Wollongong,14255,4827,150.867207,34,0.508,-34.424649,0.492
Killarney Heights,12130,4469,151.216125,41,0.517,-33.773728,0.483
Denistone,11238,3751,151.066085,42,0.503,-33.802382,0.497
Bogangar,10439,3060,153.542241,42,0.501,-28.332381,0.499
Dundee,11314,155,151.865748,49,0.478,-29.566687,0.522
Newcastle West,12951,618,151.761141,36,0.453,-32.924908,0.547
Peak Hill (NSW),13166,1106,148.185188,50,0.504,-32.725328,0.496
Mount Keira,12768,1665,150.845276,38,0.492,-34.395938,0.508
Leycester,12314,149,153.19986,49,0.507,-28.782333,0.493
Beaumont (NSW),10242,125,150.561629,57,0.508,-34.781805,0.492
Neath,12917,490,151.408291,50,0.508,-32.827058,0.492
Little Forest,12351,161,150.394697,57,0.476,-35.295789,0.524
Braemar,10545,447,148.6702,33,0.495,-36.1022,0.505
Lane Cove West,12268,2637,151.153281,36,0.505,-33.806246,0.495
Aberdeen (NSW),10007,2084,151.080554,37,0.497,-29.996058,0.503
Worrigee,14423,5068,150.626074,32,0.517,-34.89037,0.483
Murrays Beach,12854,637,150.766973,38,0.514,-34.927534,0.486
Dalwood (Ballina - NSW),11195,234,153.4151,46,0.524,-28.8939,0.476
Millers Point,12619,1482,151.203519,47,0.491,-33.858315,0.509
Tathra,13774,1675,149.985917,52,0.498,-36.729728,0.502
Padstow,13120,13306,151.030955,39,0.508,-33.971073,0.492
Croydon (NSW),11134,10612,151.114771,40,0.523,-33.883163,0.477
Bray Park (NSW),10552,795,150.549363,44,0.544,-34.157496,0.456
Torryburn (Dungog - NSW),13920,142,151.5822,48,0.48,-32.4738,0.52
Warilla,14151,6449,150.85995,44,0.51,-34.552573,0.49
Wendoree Park,14224,134,151.155631,39,0.448,-33.455552,0.552
St Marys (NSW),13643,12195,150.774015,34,0.504,-33.76676,0.496
Brooms Head,10603,212,153.33314,61,0.481,-29.604668,0.519
Yetman,14514,207,150.780675,42,0.474,-28.902557,0.526
Kirkham,12171,699,150.71674,40,0.497,-34.038536,0.503
South Windsor,13601,5892,150.804452,34,0.516,-33.620168,0.484
Castle Cove,10845,2554,151.199948,44,0.501,-33.784165,0.499
Cronulla,11119,18070,151.153662,39,0.507,-34.051972,0.493
Putta Bucca,13278,224,149.584181,47,0.514,-32.570896,0.486
Kahibah,12048,2464,151.712351,38,0.52,-32.961795,0.48
Mitchells Flat,12651,209,151.288741,40,0.531,-32.558246,0.469
Rand,13311,204,146.55696,44,0.451,-34.744609,0.549
Callala Bay,10757,2196,150.718141,48,0.499,-34.98761,0.501
Gundaroo,11805,1146,149.20979,41,0.492,-35.127745,0.508
Quaama,13285,281,149.87009,54,0.523,-36.464379,0.477
Lower Belford,12401,392,151.286484,43,0.475,-32.608791,0.525
East Albury,11344,6098,146.929105,39,0.528,-36.075617,0.472
Sylvania Waters,13718,3169,151.115847,41,0.498,-34.019802,0.502
Tyndale,13997,175,153.148717,52,0.455,-29.56176,0.545
Whitebridge,14276,2612,151.711319,41,0.517,-32.981227,0.483
Killarney Vale,12131,7216,151.459783,39,0.525,-33.369601,0.475
Fitzroy Falls,11529,216,150.478478,46,0.518,-34.640976,0.482
Carlingford,10818,24394,151.047719,39,0.509,-33.763237,0.491
Warragamba,14158,1241,150.604819,36,0.511,-33.889727,0.489
Marsden Park,12505,1008,150.832318,40,0.459,-33.697585,0.541
Claymore,10924,2644,150.810024,23,0.566,-34.045524,0.434
Currans Hill,11175,5309,150.764007,31,0.511,-34.045179,0.489
Possum Creek,13252,284,153.491771,45,0.504,-28.668944,0.496
Glenreagh,11675,900,152.978971,42,0.483,-30.05106,0.517
Gilgandra,11619,3126,148.663131,46,0.517,-31.711715,0.483
Peats Ridge,13172,377,151.229736,37,0.515,-33.351199,0.485
South Bathurst,13577,1583,149.578565,41,0.535,-33.440113,0.465
Nana Glen,12889,1055,153.004853,42,0.51,-30.136199,0.49
Frazers Creek,11560,180,152.647378,50,0.464,-31.413193,0.536
Willoughby (NSW),14303,6540,151.1986,39,0.527,-33.801483,0.473
Emerald Beach,11411,2234,153.182459,42,0.522,-30.166597,0.478
Greenhill (NSW),11763,731,152.800013,40,0.501,-31.060154,0.499
Terania Creek,13794,185,153.29947,46,0.5,-28.609209,0.5
Eungella (NSW),11460,338,153.311519,44,0.449,-28.353761,0.551
Lewis Ponds,12312,147,149.2407,42,0.523,-33.2122,0.477
Emu Plains,11418,8421,150.653269,39,0.528,-33.754097,0.472
South Lismore,13589,1879,153.269477,39,0.473,-28.809302,0.527
Missabotti,12649,298,152.805912,50,0.515,-30.567278,0.485
Taren Point,13766,1734,151.125456,57,0.549,-34.012545,0.451
Point Clare,13231,3731,151.320952,44,0.525,-33.436772,0.475
South Murwillumbah,13593,1114,153.400759,47,0.478,-28.32897,0.522
St Peters (NSW),13644,3145,151.180126,34,0.494,-33.911062,0.506
Spring Hill (Cabonne - NSW),13615,502,145.2023,38,0.483,-38.3564,0.517
Dunedoo,11316,1221,149.395838,49,0.503,-32.016184,0.497
Tarago,13758,426,149.628735,44,0.479,-35.084503,0.521
Eatonsville,11370,216,152.831293,46,0.511,-29.640182,0.489
Mount Austin,12748,3957,147.358403,39,0.519,-35.133028,0.481
Berry,10322,2667,148.494076,56,0.545,-33.187179,0.455
Rosebank,13401,413,153.392176,50,0.524,-28.663494,0.476
Cattai,10859,790,150.909515,41,0.497,-33.555841,0.503
Bugaldie,10646,144,149.110038,52,0.483,-31.122204,0.517
Sapphire Beach,13491,2084,153.147953,46,0.514,-30.233163,0.486
Mirador,12644,377,149.9199,48,0.497,-36.8768,0.503
North Wollongong,13017,2608,150.895575,27,0.47,-34.41436,0.53
Terramungamine,13801,271,148.573778,38,0.498,-32.153936,0.502
Merimbula,12575,3544,149.910553,55,0.523,-36.887762,0.477
Singleton Heights,13550,4693,151.162145,33,0.5,-32.546727,0.5
Robin Hill,13375,925,149.550475,44,0.47,-33.41473,0.53
Curlwaa,11170,393,141.965558,46,0.46,-34.09281,0.54
McKellars Park,12544,227,150.154148,42,0.478,-33.47156,0.522
Airds,10022,2926,150.829041,30,0.544,-34.084468,0.456
Green Point (Central Coast - NSW),11753,6405,151.3829,45,0.526,-33.4532,0.474
Springvale (Wagga Wagga - NSW),13628,1733,147.3181,39,0.49,-35.1708,0.51
Bective,10245,206,150.772119,47,0.485,-30.988172,0.515
Limbri,12327,108,151.154777,56,0.49,-31.039192,0.51
Lapstone,12276,961,150.636657,43,0.492,-33.774112,0.508
West Albury,14239,3851,146.890443,47,0.543,-36.073344,0.457
Mortlake (NSW),12729,1063,151.10698,38,0.531,-33.843435,0.469
South Guyra,13586,335,151.67116,43,0.476,-30.235762,0.524
Werrington,14235,4031,150.733755,33,0.511,-33.740586,0.489
Davidson,11219,2849,151.194197,43,0.508,-33.738731,0.492
Boomi,10489,201,152.603955,43,0.461,-28.470421,0.539
Harris Park,11860,5799,151.008961,31,0.464,-33.822427,0.536
Maianbar,12443,505,151.129788,46,0.511,-34.081826,0.489
Nabiac,12885,1252,152.377769,47,0.484,-32.098694,0.516
North Albury,12977,6058,146.931552,38,0.506,-36.062952,0.494
Lismore Heights,12345,2193,153.301267,40,0.525,-28.80624,0.475
Michelago,12598,562,150.865056,39,0.495,-33.94239,0.505
Voyager Point,14079,1668,150.97238,35,0.491,-33.964547,0.509
North Willoughby,13016,4172,151.195787,39,0.533,-33.793089,0.467
Seven Hills (NSW),13518,19326,150.934257,36,0.496,-33.775477,0.504
Turners Flat,13976,148,152.7,44,0.5,-31.017039,0.5
Cullen Bullen,11148,279,150.032518,48,0.495,-33.303402,0.505
Hyland Park,11968,429,152.999909,46,0.493,-30.615511,0.507
Croudace Bay,11128,574,151.643488,41,0.513,-33.00492,0.487
Temora,13784,4693,147.533742,47,0.509,-34.446858,0.491
Dolans Bay,11266,598,151.126746,43,0.503,-34.05968,0.497
Binalong,10362,543,148.628209,44,0.484,-34.670932,0.516
Numbugga,13038,125,149.711811,50,0.524,-36.652366,0.476
Henley,11891,469,151.135943,46,0.489,-33.842216,0.511
Brombin,10593,116,152.626737,45,0.491,-31.453817,0.509
Vacy,14063,625,151.57715,39,0.487,-32.543458,0.513
Billywillinga,10357,194,149.43985,44,0.51,-33.273015,0.49
Rock Forest,13377,198,149.396538,47,0.507,-33.354231,0.493
Dora Creek,11277,1643,151.501807,50,0.484,-33.083587,0.516
Oakdale (NSW),13054,1843,150.513639,37,0.486,-34.078174,0.514
Marchmont,12487,229,148.954609,39,0.539,-34.876217,0.461
Mondrook,12676,175,152.414571,53,0.503,-31.906971,0.497
Menah,12566,152,149.542687,44,0.486,-32.548716,0.514
Menai,12567,10304,151.063767,38,0.51,-33.998425,0.49
Morts Estate,12732,628,150.168076,41,0.49,-33.468424,0.51
Monaltrie,12674,195,153.278455,47,0.451,-28.851075,0.549
Surry Hills,13699,16412,151.213328,34,0.425,-33.888821,0.575
Brucedale,10613,179,147.413057,43,0.503,-35.001237,0.497
Roseville,13412,10082,151.195195,38,0.515,-33.778902,0.485
Tullimbar,13958,532,150.739102,35,0.519,-34.577122,0.481
Eagle Vale,11341,5788,150.814153,33,0.501,-34.037882,0.499
Cudmirrah,11145,275,150.557818,52,0.462,-35.19804,0.538
Bemboka,10284,577,149.572964,51,0.494,-36.629917,0.506
Marmong Point,12498,758,151.618115,45,0.495,-32.983019,0.505
Woomargama,14413,157,147.247561,48,0.491,-35.832854,0.509
Mount Arthur,12747,169,148.935597,50,0.506,-32.554619,0.494
Boomerang Beach,10487,298,152.541677,44,0.461,-32.339201,0.539
Baan Baa,10120,163,149.966153,45,0.435,-30.60138,0.565
Leconfield,12291,146,151.392441,43,0.468,-32.651348,0.532
North Arm Cove,12979,445,152.037583,59,0.494,-32.65912,0.506
Myall Park (NSW),12873,198,146.108252,41,0.497,-34.177539,0.503
Glendale (NSW),11658,3097,151.650189,38,0.516,-32.926823,0.484
Mount Olive (Singleton - NSW),12781,146,151.2251,48,0.517,-32.4078,0.483
Hastings Point,11868,653,153.576246,67,0.544,-28.361966,0.456
East Kurrajong,11356,2195,150.764601,38,0.483,-33.514481,0.517
Euroka,11464,352,152.796699,47,0.486,-31.079521,0.514
Bingie,10367,196,150.153153,57,0.49,-36.01113,0.51
East Kempsey,11354,1358,152.845507,38,0.53,-31.082158,0.47
Congarinni,11005,312,152.879726,49,0.482,-30.684156,0.518
Rushes Creek,13445,106,150.602886,54,0.43,-30.803044,0.57
Brierfield,10568,333,152.893178,44,0.488,-30.503895,0.512
Wantabadgery,14136,187,147.752829,46,0.49,-35.042064,0.51
Mount Frome,12760,136,149.644578,50,0.463,-32.605845,0.537
Oakhurst (NSW),13058,6955,150.834819,32,0.502,-33.744048,0.498
Killingworth (NSW),12137,679,151.560841,37,0.477,-32.934544,0.523
Bellevue Hill,10271,10716,151.258935,37,0.513,-33.887189,0.487
Charlotte Bay,10887,172,152.505783,46,0.488,-32.355227,0.512
North Tumbulgum,13012,256,153.470406,46,0.465,-28.26807,0.535
Newington (NSW),12953,5802,151.054828,35,0.506,-33.839276,0.494
Collingullie,10976,221,147.11146,37,0.5,-35.071845,0.5
Valery,14066,140,152.944546,47,0.543,-30.386986,0.457
