city,code,People,lon,Median age,Female,lat,Male
Tharbogang,13811,511,145.988692,40,0.454,-34.255222,0.546
Splitters Creek,13610,267,146.844998,49,0.518,-36.063828,0.482
Taralga,13759,467,149.818683,46,0.476,-34.405567,0.524
Allworth,10041,166,151.960927,47,0.43,-32.541688,0.57
Lake Cargelligo,12242,1479,146.370322,38,0.507,-33.298908,0.493
Rosemeadow,13410,7862,150.800106,33,0.52,-34.101795,0.48
Raglan (NSW),13304,1199,149.649389,36,0.487,-33.422275,0.513
O'Connell (NSW),13052,569,149.723143,44,0.495,-33.536286,0.505
Gundagai,11803,1676,148.100558,46,0.509,-35.077496,0.491
Bungawalbin,10683,120,153.1231,50,0.429,-29.129,0.571
Girards Hill,11631,1318,153.275124,44,0.527,-28.813942,0.473
Dharruk,11248,2774,150.816642,34,0.51,-33.743232,0.49
Nericon,12927,293,146.036209,41,0.505,-34.168334,0.495
Murray Downs,12852,265,143.617961,51,0.509,-35.311557,0.491
Crookwell,11123,2641,149.470291,50,0.507,-34.458076,0.493
Central Mangrove,10876,264,151.234661,45,0.498,-33.292384,0.502
Lugarno,12421,5606,151.046942,44,0.509,-33.982956,0.491
Bendick Murrell,10290,155,148.449846,50,0.468,-34.16282,0.532
Kiama Downs,12117,5004,150.851208,42,0.503,-34.645131,0.497
Bonnet Bay,10469,2262,151.054252,43,0.496,-34.009518,0.504
Summer Hill Creek,13688,216,149.132468,42,0.46,-33.217273,0.54
Horsfield Bay,11941,544,151.299908,45,0.499,-33.49347,0.501
Woodford Island,14384,245,153.1349,47,0.517,-29.5094,0.483
Islington,11990,1883,151.745721,34,0.501,-32.911915,0.499
Coffee Camp,10958,218,153.22894,49,0.479,-28.659389,0.521
Upper Corindi,14020,156,153.158509,51,0.484,-30.035889,0.516
Warnervale,14154,641,151.459786,37,0.494,-33.242434,0.506
Lorn,12389,1337,152.591668,43,0.523,-31.657555,0.477
Warri,14172,109,146.858999,41,0.49,-29.961519,0.51
