city,lat,code,lon,people
Jemalong,-33.400878,12006,147.776867,78
Liston,-28.647747,12346,152.086292,133
Sadleir,-33.920629,13461,150.890212,3135
Kayuga,-32.206995,12078,150.869014,57
Wymah,-35.997177,14442,147.265503,37
Colo Heights,-33.368491,10984,150.72214,334
Halfway Creek,-29.948486,11831,153.114128,256
Knights Hill,-34.62445,12177,150.700784,43
Badja,-36.076239,10133,149.531732,6
Forresters Beach,-33.407108,11549,151.463884,2900
Yannergee,-31.40909,14464,150.013794,24
Upper Karuah River,-32.195999,14032,151.792437,6
Wiangaree,-28.505758,14283,152.967547,131
Mangrove Mountain,-33.300847,12472,151.191661,715
Clovelly,-33.911604,10938,151.254892,4736
Brawboy,-31.93927,10551,150.635778,19
Doyalson North,-33.185292,11287,151.546219,384
Stony Chute,-28.576926,13667,153.155256,169
Karabar,-35.362899,12071,149.216388,8247
Tamworth,-27.066,13746,152.9686,180
Hayters Hill,-28.6745,11879,153.5841,27
Lovett Bay,-33.637405,12397,151.278429,153
Rouse Hill,-33.682068,13429,150.915397,7965
Huntley (Orange - NSW),-33.3696,11958,149.1249,150
Tumut,-35.339564,13966,148.271903,6230
Belfrayden,-35.116803,10259,147.053164,30
Splitters Creek,-36.063828,13610,146.844998,267
Watton,-33.302071,14196,149.410294,81
Combaning,-34.458856,10989,147.68243,103
Tongarra,-34.579673,13900,150.705668,107
Jimenbuen,-36.740918,12028,148.904734,35
Hill End (NSW),-33.031247,11903,149.417014,102
Rose Valley (Kiama - NSW),-34.7185,13399,150.8093,76
Howards Grass,-28.791492,11946,153.303018,76
Rosemeadow,-34.101795,13410,150.800106,7862
Underbank,-32.248825,14009,151.600986,34
Raglan (NSW),-33.422275,13304,149.649389,1199
Fairlight,-33.794163,11482,151.273978,5840
Mount Olive (Oberon - NSW),-32.387126,12780,151.227392,13
Boomanoomana,-35.883985,10486,145.828692,99
Gravesend,-29.582339,11742,150.337609,321
Boydtown,-37.10475,10542,149.879014,70
Bungawalbin,-29.129,10683,153.1231,120
Girards Hill,-28.813942,11631,153.275124,1318
Dharruk,-33.743232,11248,150.816642,2774
Brookdale (NSW),-35.124957,10595,147.001238,26
Bagnoo,-31.463639,10136,152.533221,44
Edith (NSW),-33.800214,11382,149.922383,94
Nericon,-34.168334,12927,146.036209,293
Old Adaminaby,-36.029411,13072,148.701954,31
Como (NSW),-34.004186,10996,151.068288,3977
Murray Downs,-35.311557,12852,143.617961,265
Crookwell,-34.458076,11123,149.470291,2641
Cornwallis,-33.592375,11078,150.812216,53
Mihi,-30.72282,12610,151.677281,38
Bendick Murrell,-34.16282,10290,148.449846,155
Carcalgong,-32.85342,10807,149.6972,45
Pelton,-32.879521,13179,151.301339,86
Reddestone,-29.624161,13338,151.6709,53
Limestone (NSW),-29.180106,12332,151.052956,9
Hamilton East,-32.929301,11839,151.754137,983
Trenayr,-29.620743,13935,152.945825,81
Horsfield Bay,-33.49347,11941,151.299908,544
Burraneer,-34.065063,10705,151.137171,3584
Woodford Island,-29.5094,14384,153.1349,245
Biddon,-31.572035,10338,148.847467,98
Paupong,-36.646591,13161,148.646819,13
Islington,-32.911915,11990,151.745721,1883
Bevendale,-34.522272,10329,149.110484,41
Gulf Creek,-30.215214,11793,150.784262,48
Cathundral,-31.921496,10858,147.837012,45
Cathcart (NSW),-36.843699,10855,149.388335,108
Arndell Park,-33.787266,10087,150.871959,27
Upper Corindi,-30.035889,14020,153.158509,156
Yaven Creek,-35.516716,14498,147.95717,58
Lower Bottle Creek,-28.825717,12403,152.608197,20
Premer,-31.452598,13259,149.902147,85
Lorn,-31.657555,12389,152.591668,1337
Rowan,-33.545345,13430,149.051172,86
Pitnacree,-32.730455,13225,151.593483,43
Oberon,-33.703856,13068,149.855484,3256
McMahons Point,-33.84464,12547,151.20425,2278
Congarinni,-30.684156,11005,152.879726,312
Irymple (NSW),-32.571209,11988,145.553486,7
Moore Park,-33.893632,12711,151.219357,28
Wheeo,-34.509822,14270,149.292676,77
East Wardell,-28.956977,11365,153.466641,305
Lakewood,-31.635267,12259,152.756608,1191
Condobolin,-33.089095,11002,147.15218,3486
Blue Bay,-33.357184,10414,151.500048,1027
Carey Bay,-33.027126,10812,151.605836,896
Yenda (NSW),-34.24907,14504,146.195555,1537
Little Jilliby,-33.235928,12354,151.349661,120
Vacy,-32.543458,14063,151.57715,625
Cunjurong Point,-35.259759,11163,150.504909,74
Mumbil,-32.725539,12832,149.049691,291
Yullundry,-32.85003,14521,148.71792,23
Bungendore,-35.256083,10684,149.440417,4178
Hamilton Valley,-36.037497,11842,146.919729,566
Greenwell Point,-34.907929,11769,150.729736,1209
Galambine,-32.479768,11579,149.506881,66
Mandalong,-33.145241,12465,151.414627,426
Toukley,-33.265459,13925,151.540695,4550
North Manly,-33.775702,12997,151.269339,3090
Lochinvar,-32.699039,12368,151.45479,784
Sandon (NSW),-29.6665,13477,153.296709,11
Wee Jasper,-35.115771,14210,148.673123,100
Alstonvale,-28.805607,10045,153.445477,442
