city,lat,ancestry_num,top_ancestry,lon,code
Upper Corindi,-30.035889,66,Australian,153.158509,14020
Warnervale,-33.242434,321,English,151.459786,14154
Lorn,-31.657555,617,English,152.591668,12389
Warri,-29.961519,53,Australian,146.858999,14172
Oberon,-33.6677,1367,Australian,149.7741,13068
McMahons Point,-33.84464,899,English,151.20425,12547
Branxton,-32.655999,926,Australian,151.363965,10549
East Wardell,-28.956977,152,Australian,153.466641,11365
Lakewood,-31.635267,571,English,152.756608,12259
South Nowra,-34.898363,835,Australian,150.60221,13594
Blue Bay,-33.357184,439,English,151.500048,10414
Carey Bay,-33.027126,428,English,151.605836,10812
Wardell,-28.952703,342,English,153.464326,14144
Mumbil,-32.725539,146,Australian,149.049691,12832
Bungendore,-35.256083,1890,Australian,149.440417,10684
Hamilton Valley,-36.037497,254,Australian,146.919729,11842
Greenwell Point,-34.907929,543,English,150.729736,11769
Mandalong,-33.145241,187,Australian,151.414627,12465
Toukley,-33.265459,1998,Australian,151.540695,13925
Valla,-30.591805,422,Australian,153.008479,14067
Narrabeen,-33.702661,3606,English,151.293622,12902
Moorbel,-33.566841,113,Australian,148.69457,12709
Mullengandra,-35.87712,57,Australian,147.180565,12823
Duri,-28.887662,263,Australian,153.258782,11332
Keinbah,-32.760031,58,Australian,151.399632,12084
Cameron Park,-32.933952,3562,Australian,151.655731,10775
Swan Creek (NSW),-29.668607,51,English,152.981609,13706
Sussex Inlet,-35.157009,1672,English,150.596247,13700
Bootawa,-31.914391,87,English,152.373581,10504
Lloyd,-35.14755,363,Australian,147.335216,12365
North Manly,-33.775702,1226,English,151.269339,12997
Warners Bay,-32.975418,3334,English,151.644682,14153
Cumborah,-29.742525,106,Australian,147.767956,11158
Belimbla Park,-34.075888,265,Australian,150.543085,10261
Fishermans Reach,-30.851981,69,Australian,152.996244,11524
Gwabegar,-30.619798,101,Australian,148.96949,11823
Fairfield (NSW),-33.868529,2486,Assyrian,150.955512,11477
Lake Innes,-31.481465,207,Australian,152.823635,12251
Spring Ridge,-31.498483,112,Australian,150.683758,13619
Mount Fairy,-35.166753,87,Australian,149.59895,12758
Royalla,-35.512227,446,Australian,149.16269,13434
Pretty Beach (Central Coast - NSW),-33.5268,169,English,151.3479,13261
Dapto,-34.494001,4620,English,150.793006,11202
Bringelly,-33.945707,710,Australian,150.725207,10575
The Entrance North,-33.326254,621,Australian,151.511249,13819
Heckenberg,-33.911083,592,Australian,150.889921,11887
Kearsley,-32.858649,431,Australian,151.395667,12080
South Arm (Nambucca - NSW),-30.6965,107,English,152.7482,13575
South Arm (Clarence Valley - NSW),-25.047,118,English,152.2872,13574
Nundle,-31.462548,223,Australian,151.127044,13043
North Wahroonga,-33.702704,718,English,151.123179,13015
Murringo,-34.272867,171,Australian,148.509953,12858
Ewingsdale,-28.637032,319,English,153.557753,11474
Martinsville,-33.055785,163,English,151.406243,12512
Beechwood,-31.436805,316,Australian,152.678408,10248
Darlington (Sydney - NSW),-33.8909,805,Chinese,151.1933,11214
Glendenning,-33.739075,999,Australian,150.855174,11659
Candelo,-36.767311,304,Australian,149.695188,10788
Cardiff Heights,-32.936219,608,English,151.672253,10810
Kyeemagh,-33.951452,214,Greek,151.159943,12226
Glenridding,-32.581778,123,Australian,151.157167,11676
Sydney Olympic Park,-33.8394,481,Chinese,151.0665,13716
Cudal,-33.286704,293,Australian,148.738898,11140
Gerroa,-34.770171,282,English,150.815611,11607
Millfield,-32.888506,435,Australian,151.264273,12620
Larnook,-28.645794,138,English,153.11767,12279
Pallamallawa,-29.475108,199,English,150.136975,13131
Wildes Meadow,-34.618189,108,English,150.530044,14292
Toothdale,-36.7906,85,Australian,149.764434,13914
Binjura,-36.180676,160,English,149.10666,10370
Ramornie,-29.640683,98,English,152.782792,13308
Murrays Run,-33.0742,65,English,151.1751,12855
Pampoolah,-31.931374,182,Australian,152.512723,13142
Campsie,-33.914373,8550,Chinese,151.103465,10782
Crackenback,-36.441153,76,Australian,148.511421,11103
Ingleburn,-33.998718,3643,Australian,150.866344,11978
Castlecrag,-33.802403,1080,English,151.212643,10849
Blaxlands Ridge,-33.502253,237,Australian,150.712367,10409
Mount Victoria,-33.588561,429,English,150.251161,12797
Howlong,-35.958568,1215,Australian,146.60586,11950
Stuart Town,-32.805688,112,English,149.077263,13680
Oatley,-33.981428,3265,English,151.082765,13064
Goolgowi,-33.983547,194,Australian,145.708082,11705
Yarrawonga (NSW),-32.356621,206,Australian,149.65883,14486
Double Bay,-33.87906,1547,English,151.243095,11281
Batehaven,-35.73211,815,English,150.199539,10228
Upper Crystal Creek,-28.282291,83,Australian,153.303819,14021
Empire Bay,-33.494186,1189,Australian,151.362188,11415
Gregory Hills,-34.0272,1617,Australian,150.7761,11774
Aberdare,-32.8442,1281,Australian,151.376514,10006
Safety Beach (NSW),-30.096684,405,English,153.192452,13462
White Cliffs,-30.850444,94,Australian,143.083844,14274
Rollands Plains,-31.23771,82,Australian,152.624248,13392
Tomingley,-32.556854,135,Australian,148.217991,13896
Middle Pocket,-28.493352,64,English,153.48262,12606
Pitt Town Bottoms,-33.596291,32,Australian,150.841424,13227
Pagewood,-33.940108,876,English,151.228411,13125
Blayney,-38.6849,1700,Australian,143.8209,10410
Bligh Park,-33.63765,3034,Australian,150.79458,10411
South West Rocks,-30.884423,2114,Australian,153.040452,13600
Tumbi Umbi,-33.362679,2277,Australian,151.447302,13962
Tamarama,-33.897439,550,English,151.271839,13741
Gymea Bay,-34.048156,2958,English,151.086087,11827
Kanwal,-33.263412,1769,Australian,151.479653,12067
Orangeville,-34.04279,583,Australian,150.573125,13094
Baradine,-30.943207,416,Australian,149.065815,10190
Woodberry,-32.793692,1351,English,151.665395,14377
Bar Beach,-32.939962,527,English,151.768383,10187
Tomago,-32.818383,108,Australian,151.757485,13889
Eurunderee,-32.52605,68,Australian,149.608821,11467
Darlington (Singleton - NSW),-32.5594,161,Australian,151.1601,11213
Minnamurra,-34.627871,346,Australian,150.855113,12639
Raleigh,-30.480738,301,English,152.994874,13307
Tacoma South,-33.289592,121,Australian,151.457044,13725
Falls Creek (NSW),-34.968232,425,Australian,150.596929,11487
Mount Druitt,-33.772053,2404,Australian,150.811583,12756
Menangle Park,-34.100121,128,Australian,150.757016,12569
Georges Plains,-33.515629,99,Australian,149.523182,11602
Rose Bay (NSW),-33.866555,2739,English,151.280456,13398
Agnes Banks,-33.618877,376,Australian,150.707372,10021
Lismore (NSW),-28.809302,1476,English,153.269477,12344
Kiama Heights,-34.697929,361,English,150.843492,12118
Cumbalum,-28.825835,685,English,153.525966,11154
Wyndham (NSW),-36.9222,174,Australian,149.6338,14443
Huntleys Point,-33.840088,42,English,151.145968,11961
Willmot,-33.727621,810,Australian,150.791569,14302
Little Hartley,-33.571701,219,English,150.208607,12352
Grong Grong,-34.73818,98,Australian,146.781265,11784
Broke (NSW),-32.751222,232,English,151.103474,10590
Albury,-36.073344,1858,English,146.890443,10027
Butterwick,-32.658257,68,English,151.639005,10725
Tyalgum,-28.346657,232,Australian,153.160681,13994
Grasmere,-34.056293,740,English,150.67317,11739
Bribbaree,-34.121252,78,Australian,147.873721,10566
North Curl Curl,-33.761652,1770,English,151.295691,12988
Kootingal,-31.057413,1131,Australian,151.054338,12194
