city,code,Median weekly household income,lon,All private dwellings,Average people per household,lat,Median monthly mortgage repayments,Median weekly rent,Average motor vehicles per dwelling
Gowrie (Singleton - NSW),11729,2474,153.2775,104,3,-28.1853,2000,420,2.4
Gloucester,11685,848,151.625369,1503,2.2,-32.049433,1300,240,1.6
Caragabal,10806,1286,147.739256,83,2.9,-33.843829,433,0,2.4
Connells Point,11013,2287,151.089495,986,3.1,-33.991871,2800,595,2.1
Lane Cove North,12267,2161,151.170912,5214,2.4,-33.807556,2400,500,1.4
Bundabah,10668,816,152.074063,82,2,-32.662213,1200,285,1.6
Denman,11241,1176,150.686422,842,2.4,-32.389403,1700,260,1.9
Berkeley Vale,10304,1397,151.43163,3240,2.7,-33.341788,1733,370,1.9
Sun Valley (NSW),13691,2062,150.592445,79,2.7,-33.712081,2167,356,2.4
Fullerton Cove,11575,1082,151.837968,250,2.3,-32.841049,2189,290,2.1
Lower Southgate,12413,1333,153.076817,52,2.3,-29.556531,1300,130,2.4
Long Point (Campbelltown - NSW),12381,1671,150.8964,69,3,-34.0115,2550,0,2.6
Hanwood,11850,1461,146.041304,504,2.8,-34.329292,1359,220,2.2
Bilgola Plateau,10351,2399,151.3159,1265,3,-33.6451,3100,810,2.1
Warialda,14149,919,150.536881,754,2.3,-29.583725,1029,150,1.8
Greenridge,11768,1187,153.120103,48,3.1,-28.896232,1733,250,2.5
Sydney,13715,1949,151.191884,8800,2.4,-33.871209,2302,690,0.5
Mallabula,12455,968,152.011748,422,2.4,-32.72898,1500,300,1.7
Burrundulla,10717,1906,149.639181,52,3.1,-32.623433,2000,100,2.6
Bellawongarah,10267,2166,150.626431,72,2.4,-34.763894,1618,0,2.4
Pimlico (NSW),13207,1187,153.494219,124,2.5,-28.889412,1560,320,2.1
Ermington,11435,1620,151.054495,3958,2.9,-33.814144,2461,277,1.7
Tennyson Point,13790,2725,151.117286,450,3,-33.831448,3250,640,2.2
One Mile (NSW),13085,1292,152.114949,176,2.5,-32.770639,2167,300,2
South Grafton,13582,801,152.934605,2779,2.3,-29.703242,1083,231,1.5
Kemps Creek,12094,1613,150.790485,700,3.4,-33.88013,2167,400,2.8
Ben Lomond (NSW),10286,1050,151.658,86,2.1,-30.017361,867,128,2.1
Ettalong Beach,11445,867,151.335289,2801,2,-33.513696,1517,350,1.3
Muscle Creek,12867,2410,150.997754,103,3.2,-32.270449,2400,0,2.7
Llangothlin,12364,1166,151.686706,53,2.5,-30.123004,1400,170,2.2
Hurstville,11964,1382,151.104909,10571,3,-33.977595,2000,475,1.3
Fernleigh,11508,1392,153.497652,116,2.8,-28.760333,1777,415,2.1
Coalcliff,10944,2333,150.976081,92,2.8,-34.243453,2824,460,2
Fawcetts Plain,11498,1542,153.016604,57,2.6,-28.575884,1500,230,2.3
Tenterfield,13792,794,151.660453,2104,2.1,-32.879833,1083,195,1.8
Ramsgate Beach,13310,1247,151.1483,851,2.1,-33.981114,2167,440,1.4
Nimmitabel,12966,786,149.280424,185,2,-36.518225,758,163,1.9
Termeil,13797,1078,150.339308,125,2.4,-35.487171,1700,225,2.5
Bronte,10594,2671,151.263838,2989,2.6,-33.902328,3500,620,1.5
Koraleigh,12195,857,143.4361,142,2.6,-35.1277,740,125,2.1
Abbotsbury,10002,2171,150.867768,1266,3.5,-33.877538,2167,505,2.5
Hawks Nest,11873,874,152.177506,1531,2,-32.671611,1733,280,1.5
Cawongla,10864,738,153.103105,109,2.1,-28.591753,1300,245,1.9
Minto Heights,12643,2374,150.871353,109,3.4,-34.037543,3359,365,2.9
Bukkulla,10648,1125,151.129034,50,2.8,-29.503137,1083,85,2.3
Abbotsford (NSW),10003,2006,151.129453,2520,2.3,-33.852469,2600,520,1.6
Somerton (NSW),13572,1268,150.637122,124,2.2,-30.938654,1092,155,2.2
Dolphin Point,11269,880,150.44539,148,1.9,-35.400376,1517,320,1.7
Southgate,13604,1174,153.024309,93,2.4,-29.608116,1398,200,2.1
North Epping,12990,2539,151.087742,1558,3.1,-33.759777,2600,580,1.9
Shoal Bay (NSW),13539,908,152.174979,1484,2,-32.724136,1800,300,1.4
Kinchela,12140,1055,152.989527,124,2.3,-30.990568,1500,228,2.3
Grose Wold,11786,2239,150.688628,219,3.2,-33.602392,2600,400,2.8
Concord West,11000,2072,151.087326,2085,3,-33.848041,2500,480,1.7
Miller,12617,739,151.702595,1259,2.7,-32.763539,1452,165,1.3
Cobar,10949,1650,145.4147,2085,2.4,-31.9338,1300,170,1.7
Merewether Heights,12574,2173,151.736231,511,2.8,-32.948242,2167,490,1.9
Hornsby Heights,11937,2273,151.095503,2130,3.1,-33.670086,2500,580,2.1
Warabrook,14140,1391,151.719957,751,2.5,-32.887886,1700,340,1.8
Willow Tree,14305,844,150.726216,155,2.3,-31.648589,1000,170,2
Salamander Bay,13463,1016,152.076399,2471,2.2,-32.720937,1625,340,1.6
Lochiel (NSW),12367,1281,149.747092,144,2.6,-36.921998,1530,148,2.2
Baw Baw (NSW),10234,1442,149.6454,103,2.6,-34.7101,1939,350,2.6
Gladesville,11638,1922,151.126964,5113,2.5,-33.832894,2500,420,1.5
Mullumbimby Creek,12829,1116,153.46472,226,2.6,-28.558202,1290,250,2
Uralla (NSW),14051,957,151.502566,1291,2.3,-30.642829,1278,220,1.8
Urbenville,14057,657,152.548088,169,2,-28.472759,921,185,1.6
Clarence,10919,1187,153.0463,90,2.4,-30.0367,2167,0,2.8
Lakemba,12257,1012,151.075921,5508,3.2,-33.920457,1600,350,1.4
Cobaki,10947,1612,153.471389,72,3.2,-28.175328,1820,260,2.2
Yass River,14494,2558,149.096916,161,2.6,-34.9072,2600,300,2.4
Deepwater (NSW),11231,665,151.847464,255,1.9,-29.44232,650,155,1.6
Umina Beach,14007,1160,151.307503,7582,2.4,-33.528746,1800,360,1.6
Thirroul,13848,1947,150.923793,2446,2.7,-34.314739,2253,433,1.8
Cooperabung,11046,1771,152.808768,107,2.8,-31.284405,1517,225,2.3
Russell Vale,13448,1452,150.900783,596,2.7,-34.358093,1950,350,1.8
Brayton,10554,1125,149.964356,102,2.3,-34.647901,2123,70,2.1
Lake Albert (NSW),12238,1553,147.381816,2439,2.7,-35.166085,1638,310,2.1
Valla Beach,14068,951,153.008479,713,2.2,-30.591805,1636,315,1.6
Haymarket,11877,1505,151.202796,2605,3,-33.880777,2342,750,0.5
Bargo,10198,1485,150.580103,1608,2.9,-34.289443,2080,360,2.3
Cootamundra,11053,910,148.024671,3254,2.2,-34.639089,1127,195,1.7
Turramurra,13980,2657,151.129809,4431,2.9,-33.733244,3000,590,1.8
Collins Creek,10978,966,153.020382,75,2,-28.495304,874,200,1.7
Benandarah,10287,739,150.228251,103,2,-35.660936,1422,150,1.7
Blackmans Point,10395,900,152.851836,72,1.8,-31.400666,1486,227,1.8
Cumberland Reach,11156,1937,150.896276,75,2.8,-33.455858,2000,0,2.3
Belfield,10257,1440,151.083553,2282,2.9,-33.902107,2378,430,1.7
Coolagolite,11023,977,149.926402,147,2.2,-36.429324,1300,200,2.1
Woodstock (Cowra - NSW),14394,872,151.0512,425,2.2,-29.2137,867,130,2.1
Shalvey,13523,1167,150.808375,1142,3.2,-33.729373,1733,280,1.6
Millingandi,12622,770,149.867994,257,1.9,-36.872365,1500,200,1.5
Lochinvar,12368,1797,151.45479,296,2.8,-32.699039,1733,290,2.4
Gosford,11722,1203,151.360909,2071,1.9,-33.451762,1400,340,1.2
Beckom,10244,1375,146.959974,53,3,-34.32731,560,0,2.2
Grays Point,11743,2557,151.081652,1032,3.2,-34.05884,2900,600,2.4
Sandringham (NSW),13478,1715,151.139252,541,2.5,-33.998763,2383,470,1.8
Keith Hall,12086,1218,153.531951,72,2.7,-28.889839,1950,343,1.9
Cooyal,11055,1906,149.757343,58,2.5,-32.450436,2015,0,2.5
Parkesbourne,13152,1875,149.521444,84,2.4,-34.761895,2167,213,2.1
Moruya Heads,12735,1042,150.132617,549,2.2,-35.913602,1311,280,1.8
Binya,10373,1449,146.337827,52,3.4,-34.228297,1031,0,2.2
Narooma,12900,777,150.119086,1696,1.9,-36.202678,1268,210,1.5
Abernethy,10011,1575,151.396677,110,2.8,-32.883242,1733,300,2.1
Koonorigan,12188,1069,153.237965,135,2.3,-28.67516,1300,265,2
Cringila,11116,901,150.871375,796,2.9,-34.471575,1394,300,1.5
Terranora,13802,1752,153.502795,995,3.1,-28.240724,2000,480,2.3
Mount Rankin,12786,1906,149.496674,149,2.8,-33.316695,2184,245,2.5
Eveleigh,11471,1221,151.19113,310,2.3,-33.897075,2550,325,1
Howes Valley,11948,866,150.835756,67,2,-32.844284,1560,0,1.8
Lisarow,12343,1742,151.371283,1805,2.9,-33.380843,1886,380,2
Shelly Beach (NSW),13535,1504,151.485687,551,2.6,-33.368675,2167,400,1.9
Northmead,13023,1639,150.994336,4745,2.5,-33.783849,2167,440,1.6
Erina,11433,941,146.7306,2226,2.1,-29.5364,1842,333,1.4
Red Head,13329,1031,152.531451,282,2.2,-32.058603,1517,360,1.7
La Perouse,12230,1531,151.231507,149,2.7,-33.989634,2500,185,1.7
Burra (Queanbeyan-Palerang Regional - NSW),10697,2550,149.2299,301,2.8,-35.5659,2600,340,2.5
The Hill,13826,1602,151.777382,1121,2,-32.929808,1950,340,1.5
Rockdale,13379,1635,151.137624,5924,2.8,-33.952747,2080,470,1.2
Yanderra,14461,1831,150.569254,235,3,-34.324175,1853,350,2.4
Erskineville,11439,2482,151.186192,4047,2.1,-33.902234,2600,602,1
Tallimba,13732,1156,146.879692,98,2.7,-33.994402,0,0,2.8
Bishops Bridge,10380,1916,151.467064,86,2.8,-32.746391,2167,98,2.5
Palmers Channel,13135,1187,153.279261,57,2.2,-29.459505,1695,240,2.1
Narraweena,12910,1577,151.274687,2462,2.8,-33.749912,2800,296,1.8
Oxley Park,13110,1332,150.79264,1221,2.8,-33.771261,1800,380,1.7
Linden (NSW),12335,2045,150.504477,201,2.6,-33.715529,1986,390,2
Parma,13155,1406,150.552694,67,2.6,-34.963298,1571,200,2.2
Mount Kembla,12769,2325,150.820503,353,3.1,-34.432799,2383,400,2.3
Coniston,11010,1135,150.885559,964,2.4,-34.436545,1700,295,1.5
Huntleys Cove,11960,2071,151.144587,364,2.2,-33.839798,2949,686,1.6
Beaumont Hills,10243,2787,150.946875,2629,3.6,-33.703416,2600,655,2.2
Colyton,10987,1415,150.793433,3028,2.9,-33.776657,1753,365,1.8
East Tamworth,11363,1368,150.949994,2525,2.3,-31.10529,1517,290,1.6
Barooga,10205,1079,145.688503,849,2.4,-35.913566,1344,215,1.8
Conjola Park,11012,922,150.452135,236,2.3,-35.371593,1620,300,1.8
Tatham,13773,1125,153.158653,92,2.5,-28.928919,1539,235,2.1
Avalon Beach,10111,2137,151.330596,3854,2.8,-33.636325,2817,625,2
Tuncurry,13969,750,152.499268,3710,1.9,-32.174624,1300,250,1.4
Euberta,11451,2062,147.190921,56,2.9,-35.059159,2505,130,2.9
South Hurstville,13587,1581,151.104909,1842,2.9,-33.977595,2167,470,1.6
Araluen (NSW),10070,716,149.812149,112,1.9,-35.64693,867,150,1.9
Cliftleigh,10932,1542,151.523259,278,3.4,-32.784916,1636,380,2.1
Kundabung,12209,1366,152.823012,232,2.8,-31.208615,1500,250,2.3
Silverwater (Lake Macquarie - NSW),13546,1160,151.5586,134,2.6,-33.103,1842,345,2
Guildford (NSW),11790,1120,150.988073,7437,3.2,-33.867084,1950,370,1.6
Rappville,13318,725,152.953134,70,2.6,-29.084845,1083,200,2.1
Palmers Island,13136,1057,153.288677,245,2.6,-29.420289,1733,250,2.2
Moruya,12734,873,150.132617,1942,2.2,-35.913602,1387,230,1.7
Lavender Bay,12285,2277,151.208015,588,1.9,-33.84307,2800,530,1.1
Fingal Head,11519,1208,153.565709,327,2.7,-28.204156,2210,360,1.9
Fishermans Paradise,11523,773,150.448704,301,2.2,-35.229709,1190,230,1.6
Scotland Island,13505,1800,151.290116,359,2.6,-33.641752,2173,465,1.4
Biniguy,10369,1292,150.136946,59,2.1,-29.580064,585,50,2.2
Rossmore (NSW),13420,1452,150.772763,716,3.3,-33.945965,2167,423,2.7
Numbaa,13035,1303,150.678484,54,2.8,-34.873429,1175,155,1.8
Bowman,10531,1073,151.780768,65,2.3,-31.922744,1200,0,1.8
Minimbah,12636,1145,152.361412,93,2.7,-32.148267,1300,150,2.2
Revesby Heights,13356,2188,151.015063,580,3.1,-33.968802,2400,510,2
Forest Hill (NSW),11544,1420,151.55001,799,2.7,-32.707981,1330,280,1.9
Blackville,10398,1224,150.30281,69,2.3,-31.65821,0,0,2.1
East Maitland,11360,1178,151.589963,5286,2.3,-32.75112,1700,280,1.7
Berrambool,10312,913,149.917402,247,2.1,-36.8788,1387,260,1.6
Googong,11704,2813,149.230757,897,3.1,-35.391776,2600,480,2.4
Glenthorne,11680,900,152.480283,111,2.3,-31.914405,1083,305,1.8
Rock Valley,13378,1352,153.174403,113,2.5,-28.747359,1374,290,2.3
Woodlands (Wingecarribee - NSW),14388,1593,150.3995,129,2.5,-34.4082,1950,263,2.6
Eltham (NSW),11409,1536,153.409529,133,2.9,-28.754287,1850,333,2.4
Barnsley,10204,1402,151.590415,634,2.8,-32.932412,1700,340,2.2
Castle Rock,10848,1781,150.732863,71,2.7,-32.210062,2041,230,2.6
Bombowlee,10459,1524,148.279996,124,2.7,-35.278606,1647,200,2.2
Cassilis (NSW),10844,1101,149.980435,180,2.3,-32.007883,769,45,2.5
Cartwright,10838,740,147.389575,981,2.6,-35.069754,1729,168,1.3
Edensor Park,11377,1637,150.875292,2868,3.5,-33.877057,2000,425,2.2
Lilli Pilli (Sutherland Shire - NSW),12322,3297,116.3409,455,3.3,-33.3576,3402,950,2.4
Cordeaux Heights,11070,2265,150.838399,1473,3.2,-34.439801,2000,450,2.3
Warren,14171,1059,151.9204,714,2.3,-27.4503,975,150,1.7
Galston,11582,1798,151.043059,1131,2.9,-33.652661,2500,500,2.3
Badgerys Creek,10132,1278,150.741351,74,3,-33.883376,1654,290,2.2
Blackalls Park,10390,1139,151.584635,1160,2.5,-33.000441,1625,310,1.8
St Clair (Penrith - NSW),13632,1859,150.7879,6531,3.1,-33.7979,1985,410,2.2
Kurrajong Hills,12220,2277,150.639331,232,2.8,-33.541464,2645,277,2.5
Yallaroi,14456,1625,150.480818,46,2.9,-29.119429,651,29,2.5
West Ryde,14251,1677,151.088724,5389,2.6,-33.807712,2100,410,1.4
Meadow Flat,12549,1721,149.921282,133,2.6,-33.434919,1720,215,2.6
Jerseyville,12022,924,153.035331,51,2.5,-30.9351,1600,225,2
Mummel,12835,1937,149.593517,48,2.5,-34.688445,1725,0,1.9
Westmead,14261,1866,150.986608,5918,2.8,-33.805332,2000,430,1.2
Georgetown (NSW),11603,1381,151.7286,903,2.3,-32.907814,1831,350,1.6
Tregear,13934,947,150.795678,1386,3,-33.751082,1473,290,1.4
East Corrimal,11348,1276,150.91118,1581,2.3,-34.376363,1904,300,1.6
Bournda,10524,1104,149.912998,70,2.3,-36.836801,2167,220,1.8
Tweed Heads,13984,928,153.543747,4889,2,-28.198486,1517,330,1.4
Cedar Point,10871,1357,152.992978,76,2.6,-28.681713,1463,280,2.3
Thornton (NSW),13851,1647,151.638803,2912,2.9,-32.776905,1733,330,2.1
Kareela,12073,2273,151.082733,1194,3,-34.014668,2600,600,2.1
Winston Hills,14335,2011,150.987795,4168,2.9,-33.776054,2400,500,1.9
Tyagarah,13993,1020,153.556171,95,2.3,-28.604443,1700,324,2
Billinudgel,10355,955,153.528274,95,2.5,-28.504114,1907,287,1.9
Luddenham,12419,2234,150.693079,547,3.6,-33.883725,2500,365,2.8
Lambton,12264,1341,151.690553,2208,2.4,-32.932574,1777,310,1.6
Woronora,14420,2310,150.934492,753,3.1,-34.111532,2600,350,2.2
Corbie Hill,11068,1312,146.456385,111,2.8,-34.571538,1517,200,2.7
Conargo,10998,1100,145.181217,85,2,-35.302371,754,0,1.9
Maroubra,12501,1722,151.246592,13238,2.5,-33.948856,2600,540,1.4
Murrurundi,12864,824,150.834935,540,2.2,-31.763687,1092,190,1.7
Belrose,10283,2117,151.278773,3149,2.9,-33.761674,3000,820,2
Yeoval,14507,886,148.649032,196,2.3,-32.751829,801,135,1.6
Mundongo,12840,1916,148.25641,76,2.9,-35.291721,2012,250,2.2
Manton (NSW),12481,2031,148.998237,110,3,-34.85035,1993,300,2.5
Dorrigo,11278,775,152.671483,632,2.1,-30.281126,1300,225,1.5
Marlee,12494,1300,152.319147,92,2.5,-31.798881,1400,183,2.3
Blairmount,10401,1850,150.799611,130,3.5,-34.049485,1983,378,2.1
Lanitza,12270,1021,152.996931,147,2.7,-29.883644,1400,250,2.2
Hannam Vale,11849,1087,152.591298,88,2.2,-31.712975,1980,250,2.1
Valentine,14065,1795,151.635155,2180,2.7,-33.008886,2000,420,2.1
Schofields,13502,2051,150.888428,1742,3.1,-33.697217,2400,470,2.1
Wyee Point,14439,1450,151.520566,411,2.9,-33.143718,1842,350,2.3
Bourkelands,10523,1912,147.355213,1069,2.7,-35.150342,1820,350,2
Wallalong,14104,2031,151.649868,326,3.2,-32.696224,2070,340,2.6
Tatton,13775,2118,147.365282,912,2.9,-35.153335,1950,370,2
Lake Heights,12248,1092,150.872531,1579,2.6,-34.481581,1733,323,1.7
Jesmond,12023,850,151.690858,1282,2.5,-32.903131,1558,300,1.3
Moorong,12715,2399,147.318106,56,3.6,-35.122246,2817,250,2.1
Dungowan,11321,1286,151.12012,144,2.7,-31.214552,1700,240,2.3
Dean Park,11224,1600,150.860027,1021,3.1,-33.73616,1788,400,1.9
St Ives (NSW),13639,2477,151.158551,6405,2.9,-33.730601,3000,680,2
Macquarie Links,12435,2635,150.867561,417,3.5,-33.982185,2659,560,2.3
Tullamore,13954,1009,147.564026,234,2.2,-32.631463,560,45,2.1
Llanarth (NSW),12362,2151,149.557591,776,2.9,-33.399527,2145,400,2.1
Broadwater (Bega Valley - NSW),10579,1275,150.8136,55,2.7,-33.7679,1517,200,2.1
Tumut,13966,1073,148.271903,2861,2.3,-35.339564,1361,200,1.7
Chester Hill,10899,1125,151.001185,4322,3.1,-33.883157,2000,330,1.7
Yerong Creek,14508,1053,147.061231,142,2.9,-35.387447,800,100,2.3
Jindera,12032,1492,146.885946,776,2.9,-35.950071,1450,275,2.3
Way Way,14203,1166,152.946259,120,2.4,-30.772886,1300,240,2
Maryville,12518,1503,151.753662,702,2.2,-32.911844,1893,400,1.5
Illabo,11972,1050,147.529705,72,2.5,-35.587981,1092,50,2.1
Cambridge Gardens,10767,1766,150.721712,717,2.9,-33.735558,1907,379,2
Clareville,10923,2510,151.313321,375,2.5,-33.634905,3033,650,2.1
Kurrajong Heights,12219,2042,150.628716,525,2.7,-33.523862,2167,423,2.2
Werombi,14232,2133,150.57174,293,3.4,-33.988918,2600,380,2.9
Pilliga,13205,575,148.890833,126,2.5,-30.351861,0,160,1.7
Utungun,14062,933,152.833063,74,2.7,-30.730063,1300,200,1.8
The Rock,13838,1228,151.208782,510,2.5,-33.859251,1179,200,2.2
Bilambil Heights,10348,1295,153.490119,1353,2.6,-28.212553,1744,370,1.9
Koorawatha,12192,781,148.553887,232,2.2,-34.039891,758,120,2
Killara (NSW),12129,2534,151.162047,3901,2.9,-33.766376,3000,646,1.8
Wyee,14438,1125,151.520566,942,2.7,-33.143718,1733,250,2.1
Braunstone,10550,1446,152.959309,113,2.6,-29.802551,1733,260,2.3
Morisset Park,12724,1612,151.530773,292,2.8,-33.121406,2143,400,2.3
Fairfield West,11480,1267,150.922057,3532,3.4,-33.868955,1950,420,1.9
Coal Point,10943,1801,151.612172,782,2.5,-33.041296,2000,375,2.2
Hill Top (Wingecarribee - NSW),11905,1551,150.4782,998,3,-34.344,1741,370,2.2
Herons Creek,11897,1187,152.72671,84,2.7,-31.587978,1433,200,2.1
Brightwaters,10570,1333,151.545925,413,2.6,-33.114455,1827,348,1.9
Limekilns,12330,1531,149.770699,58,2.4,-33.24008,1950,210,2.7
St Ives Chase,13640,2938,151.163446,1060,3.2,-33.707895,3142,950,2.2
Hawkesbury Heights,11872,2270,150.650802,160,2.8,-33.665114,2174,400,2.2
Enfield (NSW),11421,1595,151.684977,1113,2.7,-32.740212,2167,450,1.5
Currarong,11176,844,150.824214,558,2.2,-35.018739,1625,270,1.7
Paterson (NSW),13159,1581,151.618293,350,2.8,-32.599153,1733,270,2.3
Wyongah,14448,1337,151.49038,780,2.8,-33.274859,1603,350,2
McLeans Ridges,12545,1934,153.407172,190,2.8,-28.79311,2167,340,2.4
Coopers Shoot,11049,1375,153.565131,125,2.5,-28.701278,2225,328,2.1
Carinda,10814,1031,147.691173,101,2.2,-30.461198,0,0,1.9
Holroyd,11925,1860,150.993334,458,2.9,-33.829836,2000,450,1.5
Narrabri,12903,1317,149.756588,3408,2.5,-30.34053,1517,220,1.9
Braidwood,10547,1091,149.800868,783,2.3,-35.437701,1700,278,1.9
Blakehurst,10403,2080,151.112314,2127,3.1,-33.988743,2600,500,2
Renwick,13350,1865,117.9123,224,2.8,-35.0232,2167,565,2
Upper Dartbrook,14022,1875,150.697181,67,2.6,-31.938204,2184,80,2.5
Hammondville,11844,1580,150.953727,1219,2.8,-33.948113,2100,420,1.7
Mount Vernon,12796,2565,150.807887,332,3.6,-33.862377,2500,375,3.3
Holsworthy,11926,2172,150.949972,1539,3.4,-33.950403,2167,480,1.9
Oakwood (NSW),13061,979,151.0584,75,2.4,-29.6408,1344,160,2.2
Englorie Park,11423,1552,150.795131,157,2.9,-34.082052,1556,380,1.4
Hillsdale,11911,1337,151.231341,2230,2.6,-33.952685,2000,420,1.3
Maules Creek,12526,1199,150.080679,62,2.5,-30.483004,1279,81,2.3
Glossodia,11684,1910,150.765856,962,3.1,-33.535657,2000,410,2.5
Raworth,13325,1833,151.607064,610,3,-32.735981,2167,400,2.1
Riverview (NSW),13370,3692,150.631177,1019,3.2,-33.734273,4000,728,2
St Albans (NSW),13630,914,150.970263,118,1.8,-33.290934,1500,153,1.8
Urliup,14060,1156,153.398923,86,2.4,-28.257434,2000,275,2.2
Berkshire Park,10305,1716,150.79576,342,3.5,-33.672237,2406,400,3
Mudgee,12812,1256,149.586126,4946,2.4,-32.59072,1733,300,1.7
Neutral Bay,12934,2301,151.222401,5603,2,-33.831529,2500,550,1.1
Saumarez Ponds,13495,1718,151.568904,160,2.9,-30.507476,1800,150,2.5
Burroway,10715,1325,148.263375,65,2.6,-32.057228,719,0,2.4
Eureka (NSW),11461,1368,153.438375,146,2.6,-28.683763,2100,338,2.1
Henty (NSW),11892,810,147.035781,581,2.4,-35.517186,1000,150,1.8
Wattle Ponds,14193,2564,151.180978,355,3.3,-32.516603,2200,450,2.4
Darling Point,11211,2966,151.236683,2527,1.9,-33.873808,3000,787,1.3
Barraba,10206,737,150.610642,802,2,-30.378339,650,155,1.6
Centennial Park (NSW),10873,2010,151.2324,1293,2,-33.8979,2167,505,1.2
Glendon Brook,11661,1625,151.3968,104,3,-32.4776,2167,225,2.3
Goonellabah,11711,1096,153.317704,5527,2.4,-28.819841,1517,275,1.7
Bonshaw (NSW),10473,875,151.275344,53,2.8,-29.050296,1289,100,2.4
Charmhaven,10889,1194,151.502912,980,2.7,-33.229912,1517,340,1.9
Budgewoi,10642,1029,151.584067,1700,2.3,-33.21956,1517,300,1.6
Maitland Vale,12451,2449,151.559855,52,2.9,-32.677299,2167,300,2.4
West Wollongong,14255,1293,150.867207,2076,2.5,-34.424649,1950,325,1.6
Killarney Heights,12130,2590,151.216125,1464,3.2,-33.773728,3000,850,2.1
Denistone,11238,2333,151.066085,1280,3,-33.802382,2300,565,1.8
Bogangar,10439,1280,153.542241,1359,2.5,-28.332381,1708,360,1.7
Dundee,11314,1075,151.865748,68,2.4,-29.566687,867,120,2.2
Newcastle West,12951,1306,151.761141,405,1.6,-32.924908,1740,400,1.1
Peak Hill (NSW),13166,753,148.185188,600,2.1,-32.725328,769,128,1.7
Mount Keira,12768,2100,150.845276,620,2.9,-34.395938,2167,320,2
Leycester,12314,1187,153.19986,56,3,-28.782333,1250,250,2.1
Beaumont (NSW),10242,1875,150.561629,65,2.3,-34.781805,950,0,2
Neath,12917,691,151.408291,219,2.3,-32.827058,1083,220,1.7
Little Forest,12351,1083,150.394697,83,2.3,-35.295789,1387,265,1.9
Braemar,10545,1708,148.6702,170,2.8,-36.1022,1950,430,2
Lane Cove West,12268,2567,151.153281,1196,2.8,-33.806246,3000,570,1.6
Aberdeen (NSW),10007,1328,151.080554,940,2.5,-29.996058,1625,240,1.9
Worrigee,14423,1350,150.626074,1888,2.9,-34.89037,1693,325,2
Murrays Beach,12854,2070,150.766973,241,2.9,-34.927534,2253,530,1.9
Dalwood (Ballina - NSW),11195,1625,153.4151,90,2.7,-28.8939,2292,330,2.3
Millers Point,12619,3062,151.203519,1374,1.8,-33.858315,3580,900,1
Tathra,13774,1087,149.985917,981,2.1,-36.729728,1430,260,1.6
Padstow,13120,1539,151.030955,4967,2.8,-33.971073,2167,420,1.7
Croydon (NSW),11134,1846,151.114771,3836,2.9,-33.883163,2400,450,1.5
Bray Park (NSW),10552,933,150.549363,328,2.6,-34.157496,1517,285,1.7
Torryburn (Dungog - NSW),13920,1666,151.5822,69,2.4,-32.4738,2492,100,2.5
Warilla,14151,854,150.85995,2769,2.4,-34.552573,1590,265,1.5
Wendoree Park,14224,2021,151.155631,57,2.5,-33.455552,1733,0,2
St Marys (NSW),13643,1190,150.774015,5103,2.6,-33.76676,1703,350,1.5
Brooms Head,10603,703,153.33314,226,1.9,-29.604668,1733,230,1.4
Yetman,14514,780,150.780675,111,2.5,-28.902557,639,85,2
Kirkham,12171,2942,150.71674,203,3.6,-34.038536,2600,200,2.9
South Windsor,13601,1283,150.804452,2483,2.5,-33.620168,1800,325,1.8
Castle Cove,10845,2797,151.199948,945,3,-33.784165,3113,923,2.1
Cronulla,11119,1794,151.153662,9330,2.1,-34.051972,2167,450,1.6
Putta Bucca,13278,2187,149.584181,75,2.6,-32.570896,1517,340,2.7
Kahibah,12048,1435,151.712351,1085,2.4,-32.961795,1767,350,1.7
Mitchells Flat,12651,2437,151.288741,65,3,-32.558246,2817,320,2.8
Rand,13311,1303,146.55696,110,2.4,-34.744609,808,90,2.4
Callala Bay,10757,1024,150.718141,1239,2.5,-34.98761,1517,330,1.9
Gundaroo,11805,2493,149.20979,448,2.8,-35.127745,2167,375,2.5
Quaama,13285,806,149.87009,141,1.9,-36.464379,1083,200,1.8
Lower Belford,12401,2087,151.286484,153,2.9,-32.608791,2167,200,2.6
East Albury,11344,1327,146.929105,2941,2.3,-36.075617,1517,250,1.7
Sylvania Waters,13718,1973,151.115847,1171,2.9,-34.019802,2700,500,2.1
Tyndale,13997,816,153.148717,90,2.3,-29.56176,1077,200,1.9
Whitebridge,14276,1534,151.711319,1028,2.6,-32.981227,1825,350,2
Killarney Vale,12131,1222,151.459783,2890,2.6,-33.369601,1733,350,1.8
Fitzroy Falls,11529,1666,150.478478,108,2.3,-34.640976,2167,233,2.4
Carlingford,10818,1833,151.047719,8513,3.1,-33.763237,2167,510,1.9
Warragamba,14158,1326,150.604819,506,2.6,-33.889727,1560,340,1.8
Marsden Park,12505,1161,150.832318,465,2.5,-33.697585,2600,300,2.1
Claymore,10924,698,150.810024,852,3.3,-34.045524,0,199,1
Currans Hill,11175,1860,150.764007,1797,3.1,-34.045179,2086,430,2
Possum Creek,13252,1273,153.491771,133,2.6,-28.668944,1411,400,2.1
Glenreagh,11675,995,152.978971,336,2.7,-30.05106,1300,275,2
Gilgandra,11619,914,148.663131,1422,2.3,-31.711715,1083,174,1.7
Peats Ridge,13172,1696,151.229736,144,3,-33.351199,2893,250,2.4
