city,code,Median weekly household income,lon,All private dwellings,Average people per household,lat,Median monthly mortgage repayments,Median weekly rent,Average motor vehicles per dwelling
Colo Heights,10984,1421,150.72214,115,3.1,-33.368491,2100,110,2.1
Tuckombil,13947,1583,153.463089,97,3,-28.820674,1850,325,2.1
Monteagle,12683,1149,148.342278,97,2.6,-34.193245,1252,200,2.2
Forresters Beach,11549,1520,151.463884,1214,2.6,-33.407108,2078,410,1.9
Wiangaree,14283,858,152.967547,63,2.8,-28.505758,867,190,1.9
Mangrove Mountain,12472,1471,151.191661,269,3,-33.300847,2167,220,2.5
Clovelly,10938,2768,151.254892,2080,2.5,-33.911604,3683,630,1.5
Doyalson North,11287,666,151.546219,228,1.6,-33.185292,1083,150,1.1
Stony Chute,13667,754,153.155256,87,2.1,-28.576926,1083,200,1.7
Karabar,12071,1692,149.216388,3385,2.6,-35.362899,1928,300,1.9
Tamworth,13746,825,151.144183,195,1.9,-32.560224,0,203,1.4
Lovett Bay,12397,2250,151.278429,87,2.5,-33.637405,2761,0,0.9
Rouse Hill,13429,2401,150.915397,2537,3.4,-33.682068,2600,595,2.2
Broughton Vale,10606,1541,150.708686,100,2.3,-34.757278,1517,0,2.1
Tharbogang,13811,1399,145.988692,183,3,-34.255222,1000,190,2.4
Splitters Creek,13610,2531,146.844998,108,2.8,-36.063828,2000,0,2.5
Taralga,13759,1050,149.818683,251,2.2,-34.405567,1114,135,2
Allworth,10041,1050,151.960927,99,1.9,-32.541688,1430,230,2
Lake Cargelligo,12242,1048,146.370322,640,2.5,-33.298908,867,150,1.8
Rosemeadow,13410,1470,150.800106,2659,3.1,-34.101795,1733,350,1.8
Raglan (NSW),13304,1463,149.649389,433,2.9,-33.422275,1733,310,2.2
O'Connell (NSW),13052,1578,149.723143,231,2.8,-33.536286,2167,250,2.5
Gundagai,11803,1022,148.100558,819,2.3,-35.077496,1181,180,1.7
Bungawalbin,10683,843,153.1231,58,2,-29.129,770,75,1.7
Girards Hill,11631,1002,153.275124,661,2.1,-28.813942,1288,250,1.4
Dharruk,11248,1281,150.816642,908,3.2,-33.743232,1555,325,1.7
Nericon,12927,1424,146.036209,108,2.7,-34.168334,1517,180,2.5
Murray Downs,12852,1666,143.617961,117,2.6,-35.311557,1246,0,2.4
Crookwell,11123,1001,149.470291,1292,2.2,-34.458076,1343,220,2
Central Mangrove,10876,1775,151.234661,103,3,-33.292384,2184,300,2.8
Lugarno,12421,2168,151.046942,2001,3,-33.982956,2600,500,2.2
Bendick Murrell,10290,924,148.449846,73,2.3,-34.16282,1083,200,2.1
Kiama Downs,12117,1836,150.851208,1938,2.8,-34.645131,2000,400,2.1
Bonnet Bay,10469,2706,151.054252,785,3,-34.009518,2600,650,2.2
Summer Hill Creek,13688,1774,149.132468,82,2.7,-33.217273,2019,0,2.5
Horsfield Bay,11941,1937,151.299908,221,2.7,-33.49347,1800,435,2
Woodford Island,14384,1152,153.1349,111,2.5,-29.5094,1337,250,2
Islington,11990,1354,151.745721,972,2.1,-32.911915,1733,350,1.4
Coffee Camp,10958,782,153.22894,102,2.4,-28.659389,984,210,2
Upper Corindi,14020,900,153.158509,68,2,-30.035889,1400,125,2
Warnervale,14154,1652,151.459786,213,3.2,-33.242434,1850,425,2.4
Lorn,12389,1527,152.591668,586,2.4,-31.657555,1800,320,1.7
Warri,14172,2285,146.858999,47,2.4,-29.961519,2600,200,2.4
Oberon,13068,1188,149.7741,1538,2.3,-33.6677,1408,230,1.9
McMahons Point,12547,2379,151.20425,1451,1.9,-33.84464,2919,580,1.2
Branxton,10549,1678,151.363965,763,2.7,-32.655999,1915,300,2.2
East Wardell,11365,1145,153.466641,116,2.7,-28.956977,1473,300,2.1
Lakewood,12259,824,152.756608,544,2.3,-31.635267,1447,328,1.7
South Nowra,13594,1330,150.60221,743,2.7,-34.898363,1733,300,1.8
Blue Bay,10414,1141,151.500048,689,2.1,-33.357184,1925,350,1.6
Carey Bay,10812,1206,151.605836,410,2,-33.027126,1977,280,1.7
Wardell,14144,975,153.464326,370,2.4,-28.952703,1343,300,1.8
Mumbil,12832,710,149.049691,161,2.3,-32.725539,884,120,1.7
Bungendore,10684,2514,149.440417,1508,2.9,-35.256083,2383,450,2.4
Hamilton Valley,11842,1472,146.919729,217,2.8,-36.037497,1560,315,2
Greenwell Point,11769,876,150.729736,744,2,-34.907929,1517,238,1.7
