city,code,people
Yantabulla,14465,28
Hayes Gap,11876,12
Little River (NSW),12357,47
Bango,10176,96
Golspie,11695,58
Eurimbla,11462,38
Wandera,14129,23
Berringer Lake,10321,26
Duncans Creek,11311,57
Tabbil Creek,13719,40
Milparinka,12624,77
Coolabah,11021,69
Bunnan,10689,100
Lemington,12298,8
Mount Adrah,12744,37
Bewong,10332,83
Jembaicumbene,12007,41
Yarras (Port Macquarie-Hastings - NSW),14481,65
Irvington,11987,83
Munyabla,12847,43
Cowper,11098,94
Phoenix Park,13194,95
Walang,14091,84
Erin Vale,11432,51
Fullerton,11574,48
Creewah,11111,36
Lemon Tree,12299,60
Willina,14301,60
Dyrring,11340,91
Moonbria,12700,7
Stroud Hill,13678,28
Bellangry,10265,100
Corrowong,11084,13
Rawsonville,13326,50
Simpkins Creek,13548,22
Honeybugle,11932,27
Wellingrove,14220,96
Wollumboola,14360,28
Merrill,12584,31
Rufus,13437,24
Eremerang,11430,17
Laverstock,12286,26
Bendalong,10288,95
Tallwood,13736,73
Nattai,12915,65
Rookhurst,13393,65
Kikiamah,12123,97
Ironbark (NSW),11985,31
Totnes Valley,13922,33
Mulla Creek,12819,90
Bundure,10677,6
Triamble,13938,19
Browns Creek,10610,97
Trungley Hall,13941,81
Camp Creek (NSW),10779,21
Bunnaloo,10688,101
Book Book,10476,92
McLeods Shoot,12546,102
Doyles Creek,11288,47
Arumpo,10092,34
Muli Muli,12817,49
Faulkland,11497,77
Appleby,10065,37
Allynbrook,10042,64
Dry Creek (NSW),11294,32
Bimbimbie,10361,118
Fargunyah,11489,19
Little Back Creek,12348,43
Peacock Creek,13165,28
Greenlands (Singleton - NSW),11765,85
Mumblebone Plain,12833,26
Bulgary,10653,10
Glen Alice,11643,59
Furracabad,11576,42
Kings Forest,12148,35
Hillgrove (Wagga Wagga - NSW),11908,27
Milkers Flat,12614,5
Bringenbrong,10576,52
Budawang,10636,11
Boolambayte,10481,87
Meryla,12591,4
Tuross,13978,13
Illaroo,11973,34
Glen Allen,11644,17
Ooma,13088,32
Wean,14206,25
Purlewaugh,13276,101
Giants Creek,11612,92
Wollomombi,14356,112
Dandry,11198,94
Mount Seaview,12792,23
Crawney,11110,34
Greengrove,11762,20
Saddleback Mountain,13460,73
Larbert,12277,39
Sandy Crossing,13482,37
Alice,10033,6
Wrights Creek (NSW),14429,25
Yellow Dam,14500,14
Monga,12677,14
Whoota,14281,68
Mayfield (Shoalhaven - NSW),12533,37
Ravensdale,13320,64
Coomoo Coomoo,11042,8
Cuttabri,11182,43
Goolma,11707,102
Caldwell,10751,33
Queens Pinch,13295,31
Falbrook,11485,27
Coggan,10960,4
Myrtle Creek (NSW),12879,86
Quanda,13288,9
Milroy (Gunnedah - NSW),12626,77
Afterlee,10020,50
Kangiara,12063,48
Wimborne,14313,18
Buckra Bendinni,10635,99
Greendale (Bega Valley - NSW),11758,77
Corang,11066,13
Doon Doon,11273,97
Ghoolendaadi,11611,62
Lower Dyraaba,12406,23
Coree,11071,36
Nombi,12969,35
Mollyan,12668,30
Green Hills (Armidale Regional - NSW),11750,20
Belgravia,10260,118
Shallow Bay,13522,44
Little Jacks Creek,12353,19
Womboota,14367,105
Colo (Bathurst Regional - NSW),10982,3
Waukivory,14199,94
Wattle Ridge (NSW),14194,4
Cookardinia,11017,68
Fordwich,11541,92
Toms Creek,13898,39
Mellool,12562,44
Orange Grove (NSW),13093,33
Richmond Vale,13363,84
Back Creek (Gwydir - NSW),10124,13
Lake Cowal,12245,36
Mylneford,12876,81
Moonpar,12706,16
Walmer (NSW),14119,38
Central Macdonald,10875,55
Brogans Creek,10587,10
Bielsdown Hills,10341,99
Buckenderra,10632,21
Bungaba,10678,93
Nyora (NSW),13050,16
Wallamore,14105,121
North Yalgogrin,13019,85
Little Pelican,12355,4
Abercrombie River,10005,22
Sleepy Hollow,13557,98
Blue Vale,10419,62
Cobbadah,10953,90
Runnyford,13442,19
Kings Plains (Inverell - NSW),12152,12
Mogilla,12659,77
Underbank,14009,34
Yathella,14495,135
Rocky Plain (NSW),13387,64
Bectric,10246,54
Suntop,13696,70
Cambra,10766,30
Terragon,13800,73
Durren Durren,11336,79
Yarraman (NSW),14476,11
Bakers Creek (Mid-Coast - NSW),10139,38
Hampton (NSW),11846,104
Ginghi,11629,10
Harparary,11856,45
Wardrop Valley,14145,89
Hogarth Range,11919,41
Upper Myall,14039,25
Murrumbucca,12862,84
Windermere (NSW),14320,55
Chinnock,10906,22
Upper Eden Creek,14025,46
Muttama,12870,131
Lowesdale,12414,95
Southampton (NSW),13603,24
Roughit,13424,110
Tunglebung,13970,26
Crowther,11132,55
Timor (NSW),13871,55
Ruby Creek,13436,68
Bulla Creek,10655,59
Ellerslie (Snowy Valleys - NSW),11402,52
Cobramunga,10955,33
Crooble,11120,62
Buckenbowra,10631,15
Pyramul,13282,69
Richmond Lowlands,13362,42
Oxley (Warren - NSW),13108,8
Jones Creek,12040,107
Buttai,10724,54
Parraweena,13157,40
Dinoga,11259,61
Tara (NSW),13756,27
Reids Flat,13347,85
Brungle Creek,10619,32
Duckenfield,11298,108
Wombeyan Caves,14366,57
Stud Park,13683,52
Barwon,10221,33
Pinnacle (NSW),13220,39
Chichester (NSW),10900,29
Pindaroi,13210,39
Cullerin,11151,38
Colinroobie,10967,65
Carnham,10821,8
Black Hollow,10386,24
Warrawidgee,14166,86
Gurrundah,11820,55
Cuttagee,11183,55
Boona Mount,10491,22
Theresa Creek (NSW),13844,67
Gowan,11727,32
Wollun,14361,67
Singleton Military Area,13551,319
Rosebrook (NSW),13406,76
Tilbuster,13865,62
Broughams Gate,10604,15
Donald Creek,11271,30
Bald Blair,10146,45
Hatfield,11870,11
Boro,10514,94
Gin Gin (NSW),11627,109
Upper Copmanhurst,14019,86
Mount Thorley,12794,68
Hill Top (Snowy Monaro Regional - NSW),11904,83
Berremangra,10314,81
Tumut Plains,13967,60
Diggers Camp,11254,18
Bingeebeebra Creek,10366,35
Upper Wilsons Creek,14048,72
Wingadee,14329,16
Oban,13065,7
Turondale,13977,85
Napier Lane,12892,30
Dumaresq,11305,77
Hanging Rock,11847,105
Banksmeadow,10179,18
Mooney Mooney Creek,12705,25
Kunghur Creek,12214,44
Tullakool,13953,76
Wylie Creek,14440,14
Berry Jerry,10323,76
Sallys Flat,13466,11
Premer,13259,85
Indi,11976,39
Hartys Plains,11864,31
Big Jacks Creek,10343,56
Bingleburra,10368,25
Pine Valley,13217,32
Pretty Pine,13263,63
Dalwood (Singleton - NSW),11196,106
Kerewong,12104,10
Sandy Creek (Cobar - NSW),13480,25
Lowther,12415,77
Swanbrook,13708,10
Anabranch South,10052,34
Cougal,11088,38
Boolcarroll,10483,14
Repentance Creek,13351,104
Woronora Dam,14421,3
Peelwood,13175,34
Lavadia,12284,21
Frogs Hollow,11572,113
Bandon Grove,10171,119
North Woodburn,13018,86
Dabee,11184,37
Godfreys Creek,11691,76
Ganbenang,11583,95
