city,code,people
Wittitrin,14345,87
Boeill Creek,10436,101
Thirldene,13846,5
Sheedys Gully,13531,86
Mount Marsden,12776,60
Green Forest,11748,3
Birdwood (NSW),10375,41
Dunolly (NSW),11324,89
Sherwood (Clarence Valley - NSW),13536,64
Bulldog,10661,23
Good Forest,11699,35
Loxford,12416,67
Tilpa,13867,44
Murrumbo,12861,6
Clouds Creek,10937,3
Peak View,13167,52
Growee,11788,11
Matheson,12521,49
Ku-Ring-Gai Chase,12205,7
Ellerslie (Wentworth - NSW),11403,82
Kingsland,12159,38
Myalla (NSW),12874,7
Bowmans Creek,10533,8
Marthaguy,12509,58
Grogan,11783,90
Willow Vale (Kiama - NSW),14306,79
Wallangra,14107,99
Bangadang,10172,11
Dripstone,11292,76
Orton Park,13097,26
Jimenbuen,12028,35
Rosemeath,13411,20
Cumbo,11157,11
Girilambone,11632,107
Wermatong,14231,45
Magometon,12442,22
Forbes River,11538,13
Hampden Hall,11845,59
Maitland Bar,12450,18
Warkworth,14152,49
Breadalbane (NSW),10555,100
Carrs Island,10835,14
Boorga,10497,14
Booyong,10506,76
Murulla,12865,9
Bathampton,10230,39
Gosforth,11723,84
Mount Russell,12790,111
Rawdon Vale,13324,17
New Valley,12946,35
Banyabba,10186,51
Webbs Creek,14208,44
Hovells Creek,11945,40
Spring Mountain (NSW),13617,20
Lewinsbrook,12311,43
Merrigal,12583,31
Mongogarie,12679,79
Bakers Swamp,10142,53
Cullendore,11150,19
Crowdy Bay National Park,11129,3
Heifer Station,11889,8
Comerong Island,10994,12
Bobs Creek,10428,87
One Tree,13086,15
Browns Mountain,10611,21
Little Wobby,12359,61
Bulliac,10663,45
Balladoran,10157,108
Dirty Creek,11261,91
Brays Creek,10553,71
Stony Crossing,13670,17
Bourbah,10521,40
Wallaringa,14110,11
Torryburn (Uralla - NSW),13921,42
St Clair (Singleton - NSW),13633,5
Upper Mongogarie,14038,25
Ando,10054,72
Lindesay,12337,20
Cudgel,11142,32
Black Creek (Port Macquarie-Hastings - NSW),10382,46
Rukenvale,13439,32
Milvale,12631,67
Woko,14348,5
Mallee,12458,10
Wirrimah,14340,64
Wallanbah,14106,83
Tralee,13931,8
Crawford River,11109,43
Laurel Hill,12282,20
Briarbrook,10565,10
Cockwhy,10956,17
Clarendon (NSW),10921,122
Mannus,12479,222
Coldstream (NSW),10963,48
Califat,10753,15
Carrington Falls,10831,20
Windowie,14323,28
Rocky Hall,13386,45
Five Ways,11531,30
Oyster Cove (NSW),13113,81
Tahlee,13726,21
Naughtons Gap,12916,73
Bara,10189,25
Courabyra,11090,99
Yarrabin,14470,87
Lake Hume Village,12249,56
Byrock,10732,50
Berowra Creek,10309,18
Botobolar,10518,87
Bell (NSW),10262,51
Ettamogah,11446,45
Iron Pot Creek,11984,28
Cadgee (NSW),10744,43
Dhuragoon,11250,26
Stannum,13652,54
Cabramurra,10742,37
Welaregang,14218,38
Wantagong,14137,57
Dungarubba,11317,59
Mountain Top,12807,65
Murrah,12849,51
Jackadgery,11992,92
Methul,12593,52
Pine Ridge,13216,119
Mountain Creek (NSW),12805,47
Willigobung,14300,48
Cooks Myalls,11020,47
Lower Bago,12400,7
Gobarralong,11688,52
Garland Valley,11590,11
Mogriguy,12665,113
Hobbys Yards,11918,81
Forbes Creek,11537,68
Black Creek (Snowy Valleys - NSW),10383,17
Rock Flat,13376,77
Chatham Valley,10890,25
Gungalman,11811,7
Beemunnel,10252,17
Cundumbul,11162,38
Bream Beach,10558,13
Berry Mountain,10324,28
Maybole,12528,43
Kiora,12166,54
Palmwoods (NSW),13139,104
Widgelli,14287,67
Bullarah,10658,111
Moorwatha,12716,45
Warrah Ridge,14162,99
Wongwibinda,14376,61
Stockrington,13661,81
Sandy Hill,13485,31
Mount Collins,12751,12
Springvale (Lithgow - NSW),13627,46
Buccarumbi,10627,16
Tocal (NSW),13885,50
Cogra Bay,10961,18
Dark Corner,11208,17
Pyangle,13280,18
Bolaro,10446,39
Budgong,10644,68
Fernances,11503,13
Adjungbilly,10019,81
Lower Lewis Ponds,12407,44
Obley,13069,91
Tuncester,13968,71
Spicketts Creek,13609,45
Cascade (NSW),10842,5
Findon Creek,11516,28
Buckendoon,10633,35
Tubbamurra,13943,19
Goodnight,11701,100
Errowanbang,11437,38
Bullio,10664,82
Blackmans Flat,10394,28
Ingebirah,11977,94
Williamsdale,14298,63
Cumbandry,11155,15
Arkell,10082,43
Depot Beach,11242,21
Bullawa Creek,10660,108
Eurobodalla,11463,92
Tumorrama,13965,33
Campvale,10783,41
Norway,13025,59
Westwood (NSW),14263,12
Graman,11736,103
Back Creek (Tweed - NSW),10128,14
Ballyroe,10163,3
Omadale,13084,4
Great Mackerel Beach,11744,36
Booroorban,10502,33
Killongbutta,12138,30
Nullo Mountain,13034,30
Bolong,10448,104
Upper Bylong,14016,4
Puddledock,13268,48
Tomboye,13893,40
Cattle Creek (NSW),10860,30
Crooked Corner,11122,61
Brogers Creek,10588,39
Tannabar,13750,69
Shannondale,13527,89
Milbrulong,12613,94
Wondabyne,14371,4
Corinella (NSW),11074,73
Piora,13223,86
Huntley (Wollongong - NSW),11959,50
Copeland,11058,64
Sharps Creek,13530,17
Nurenmerenmong,13046,11
Amaroo (NSW),10048,46
Upper Turon,14047,12
Paddys River (Snowy Valleys - NSW),13118,21
Mandagery,12464,65
Corney Town,11077,76
Pejar,13176,50
McMahons Reef,12548,57
Mount Knowles,12771,40
Newnes,12954,4
Goonoo Goonoo,11714,61
Glenbawn,11655,75
Pappinbarra,13147,81
Rossglen,13417,58
Tindarey,13872,35
Paddys Flat (Kyogle - NSW),13116,15
Wambangalang,14121,89
Yarrie Lake,14488,65
Pagans Flat,13122,3
Smiths Creek (Kyogle - NSW),13561,62
Melville (NSW),12564,64
Kilgin,12126,46
Billilingra,10353,13
Logie Brae,12374,80
Kerrigundi,12107,13
Nebea,12918,10
Keera,12082,56
Havilah (NSW),11871,22
Tyringham,13998,100
Curlew Waters,11168,14
Avisford,10112,26
Bamarang,10169,29
Timbarra (NSW),13868,29
Triangle Flat,13939,56
Tomewin,13895,108
Durras North,11335,27
Titaatee Creek,13884,14
Goorianawa,11717,28
Diehard,11253,44
Coolringdon,11033,67
Burcher,10692,82
Biala,10336,59
Namoi River,12888,60
Urawilkie,14056,12
Scotts Creek (NSW),13506,21
Blakney Creek,10404,60
Chatsbury,10891,91
Carlaminda,10817,36
Wuuluman,14430,776
Millie,12621,28
Cedar Creek (Cessnock - NSW),10868,33
Gunning Gap,11814,77
Lower Creek,12404,32
Scheyville,13501,10
Sandilands (NSW),13476,11
Glenroy (Snowy Valleys - NSW),11679,70
Coppabella (NSW),11061,11
Gingkin,11630,77
Bakers Creek (Nambucca - NSW),10140,14
Ponto,13241,51
Grassy Head,11740,80
Bogee,10440,82
Yarrow,14489,6
Glenrock (NSW),11677,31
Yerriyong,14511,25
Copperhannia,11062,3
Back Creek (Queanbeyan-Palerang Regional - NSW),10126,12
Sunset Strip (NSW),13693,83
Mooral Creek,12707,81
Upper Fine Flower,14026,27
Boorolong,10499,88
Bomen,10461,25
Fairholme,11481,19
Scotia,13504,26
Mororo,12726,85
Scotts Flat,13507,36
Bago,10137,35
Tugrabakh,13952,75
Coreen,11072,109
Mayvale,12539,12
Edenville,11378,76
Gilmandyke,11625,19
Rennie,13349,43
Mount Darragh,12753,26
Gunbar,11802,54
Kybeyan,12224,37
Gonn,11697,41
Ardglen,10074,59
Bushells Ridge,10722,18
Chambigne,10882,55
Boorabee Park,10494,104
Goombargana,11710,52
Fitzgeralds Mount,11527,54
Warragai Creek,14157,101
Flat Tops,11532,25
Porters Retreat,13249,60
Kiar,12120,33
Northangera,13021,43
Landervale,12265,22
Keepit,12081,13
Burraboi,10700,63
Sebastopol (NSW),13513,61
Tantonan,13754,24
Aberfoyle,10008,102
Gundamulda,11804,11
Clifton (NSW),10933,28
Marlo Merrican,12495,70
Ruthven,13450,103
Nerriga,12930,72
Palarang,13126,58
Moleville Creek,12667,30
Tibbuc,13859,27
Kennaicle Creek,12098,5
Royal National Park,13433,27
Red Rocks,13335,6
Stonequarry,13666,21
Crowdy Head,11130,77
Cubba,11139,33
Milroy (Mid-Western Regional - NSW),12627,51
Rouchel Brook,13423,28
Talawanta,13729,28
Pola Creek,13237,67
Kilgra,12127,77
Kunghur,12213,107
Kunama,12208,71
Merriangaah,12581,5
Pulletop,13271,83
Allandale (NSW),10037,73
Mirrool,12648,92
Mograni,12664,35
Warregah Island,14169,23
Old Grevillia,13076,48
Watersleigh,14184,24
Walleroobie,14115,71
Riverlea,13366,42
Benerembah,10293,130
Higher Macdonald,11901,8
Midginbil,12609,72
Kippaxs,12168,26
Camerons Creek,10776,49
Gogeldrie,11692,91
Turrawan,13981,72
Upper Duroby,14024,104
Pine Clump,13213,9
Karaak Flat,12070,45
Wiarborough,14284,20
Gidley,11616,91
Mayfield (Queanbeyan-Palerang Regional - NSW),12532,22
Bullatale,10659,42
Murrin Bridge,12857,86
North Macquarie,12996,26
Clearfield,10927,10
Belanglo,10255,27
The Rocks (Bathurst Regional - NSW),13839,60
Sugarloaf (NSW),13685,71
Webbers Creek,14207,30
Alumy Creek,10047,91
Wirragulla,14339,30
Hungerford (NSW),11953,15
Lindifferon,12340,45
Grosses Plain,11787,31
Wellington Vale,14222,35
Bearbong,10241,60
Hambledon Hill,11837,10
Greta Main,11779,68
Klori,12176,51
Unumgar,14012,26
Packsaddle,13114,87
Cataract,10854,8
Bagotville,10138,49
Cleveland (NSW),10930,21
Krawarree,12203,45
Jenolan,12009,19
Fowlers Gap,11557,30
The Bight,13813,66
Kenebri,12097,42
Camboon (NSW),10765,39
Deep Creek (Kyogle - NSW),11230,30
Oxley (Balranald - NSW),13107,33
Melbergen,12559,4
Pulganbar,13269,12
Grevillia,11780,77
Moppy,12718,16
Curra Creek,11171,66
Pine Lodge (NSW),13215,60
Broadway,10581,39
Yarragrin,14472,34
Booligal,10484,95
Fords Bridge,11540,54
Miandetta (NSW),12596,39
South Ballina,13576,37
Arkstone,10083,22
Bennetts Green,10295,9
Bald Nob,10148,9
Shadforth (NSW),13521,80
Talmalmo,13738,53
Pallal,13130,83
Rocky River (Tenterfield - NSW),13389,18
Mandemar,12466,62
Wog Wog (Queanbeyan-Palerang Regional - NSW),14347,15
Willbriggie,14296,131
Alleena,10039,61
Polo Flat,13238,24
Morundah,12733,69
Baryulgil,10222,90
Bundewallah,10675,48
Birriwa,10378,49
Coxs Crown,11101,13
Milsons Passage,12628,20
Greg Greg,11772,36
Metz,12594,106
Mount Murray,12779,54
Werai,14229,90
Ghinni Ghinni,11610,58
Glen Ward,11653,6
Waterview,14185,79
Upper Coopers Creek,14018,65
Garra,11592,96
Dandaloo,11197,37
Old Mill,13079,12
Mount Lambie,12773,76
Roseberry Creek,13404,35
Forest Grove (NSW),11543,104
Kulwin (NSW),12207,12
The Risk,13837,64
Ghinni Ghi,11609,36
Dalswinton,11193,51
Wandook,14130,42
Back Creek (Bland - NSW),10123,52
Monkerai,12682,70
Caparra,10800,72
Marlow,12496,18
Yarrowford,14490,69
Busbys Flat,10721,37
Calimo,10754,72
Burnt Bridge,10694,152
Patchs Beach,13158,62
Warrah,14160,49
Hartley Vale,11862,70
Farnham,11492,28
Kangaroobie,12062,41
Bulga Forest,10652,3
Jingellic,12033,61
Combara,10990,79
Pan Ban,13143,26
Doctors Gap,11264,29
Winifred,14333,29
Bobadah,10426,10
Wamban,14120,90
Corangula,11067,21
Bowling Alley Point,10530,32
Tulloona,13959,50
Halloran,11833,43
Glenelg (NSW),11662,28
Weetaliba,14214,50
Lyndhurst (Armidale Regional - NSW),12425,21
Gongolgon,11696,40
Garland,11589,64
Rossi,13419,95
Tooranie,13910,6
Macdonalds Creek,12429,11
Bouddi,10520,4
Ropers Road,13396,18
Kingstown,12160,94
Babyl Creek,10122,9
Owens Gap,13105,60
Home Rule,11928,50
Munni,12846,40
Glen Elgin,11647,213
Callaghan,10755,1326
Hyndmans Creek,11969,59
Green Gully (NSW),11749,35
Weabonga,14205,49
Willi Willi,14297,30
Goodwood Island,11703,69
Rainbow Reach,13306,83
Rose Valley (Snowy Monaro Regional - NSW),13400,33
Thyra,13857,14
Kangaroo Creek,12059,107
Ryan (NSW),13451,15
Bibbenluke,10337,87
Berthong,10326,46
Long Point (Singleton - NSW),12382,31
Durran Durra,11334,107
Saumarez,13494,88
Salisbury Plains,13465,88
Invergordon (NSW),11982,31
Mossgiel,12740,41
Dairy Flat,11187,17
Gunningbland,11815,75
Linburn,12334,64
Steeple Flat,13657,37
Ootha,13089,82
Horse Station Creek,11938,101
Jerrawa,12018,73
Baerami Creek,10135,50
Nubba,13030,76
Big Hill (NSW),10342,44
Apple Tree Flat,10064,41
Lalalty,12260,96
Woodhill (NSW),14385,72
Roslyn,13416,92
Darlow,11216,39
Melinga,12560,103
Wylies Flat,14441,55
Newton Boyd,12959,24
Myall Creek,12871,38
Ashby Island,10096,16
Manobalai,12480,67
Moonan Brook,12696,23
Sherwood (Kyogle - NSW),13538,28
Dirnaseer,11260,76
Narone Creek,12899,27
Wyneden,14444,49
Croki,11117,43
Nymagee,13047,100
Stotts Creek,13671,3
Angledool,10057,58
Kings Plains (Blayney - NSW),12151,117
Guerilla Bay,11789,53
Greenlands (Snowy Monaro Regional - NSW),11766,18
Bomera,10462,39
Rockley Mount,13381,82
Kamarah,12053,95
Bundella,10673,69
Ballengarra,10160,94
Nelungaloo,12925,51
Erigolia,11431,47
Leets Vale,12294,57
Kars Springs,12075,32
Carrowbrook,10833,35
Erudgere,11440,107
Alison (Dungog - NSW),10035,76
Maldon (NSW),12454,15
Quidong,13298,10
Mindaribba,12634,75
Warrah Creek,14161,90
Collerina,10974,47
Carwell,10840,15
Burrapine,10707,59
Micalo Island,12597,34
The Angle,13812,88
Palmvale,13138,83
Berrigal,10317,34
Duck Creek,11297,57
Wimbledon,14312,109
Summer Island,13689,101
Burrandana,10704,21
Curraweela,11179,47
Brushy Creek,10623,26
Atholwood,10104,79
Mount Mitchell,12778,83
Warburn,14143,98
Gineroi,11628,57
Sapphire,13490,44
Callaghans Creek,10756,4
Birganbigil,10376,50
Burragate,10703,104
Winegrove,14328,40
Rannock,13317,55
Glenmore (NSW),11669,122
Girral,11634,59
Taloumbi,13740,106
Bundook,10676,102
Mullion,12825,84
Pyree,13283,101
Tinderry,13873,66
